model,gpu_memory_utilization,chunked_prefill,kv_offloading,status,end_to_end_s,num_requests,p99_ttft_s,p99_tpot_s,p99_latency_s,max_gpu_mem_mib,num_preemptions,kv_offload_gpu_to_cpu_mb,kv_offload_cpu_to_gpu_mb,tokens_served_from_offload_cache
mixtral_7b_8expert,0.85,False,False,ok,265.005,1000,244.98210402377765,0.28169215640954987,258.034784747304,39113.0,0,,,0
mixtral_7b_8expert,0.85,False,True,ok,175.13,1000,154.5244844644441,0.19662002262317324,168.2593317336001,39223.0,7,3640.131584,116192.968704,7013264
mixtral_7b_8expert,0.85,True,False,ok,392.443,1000,375.29370904308047,0.04834474012670236,383.9665179478208,38975.0,0,,,0
mixtral_7b_8expert,0.85,True,True,ok,185.131,1000,154.0625258367928,0.21042111979259762,178.27082106334595,39089.0,7,3657.170944,138091.954176,8378576
qwen_7b,0.25,False,False,failed,,,,,,16863.0,,,,
qwen_7b,0.25,False,True,failed,,,,,,16863.0,,,,
qwen_7b,0.25,True,False,failed,,,,,,15815.0,,,,
qwen_7b,0.25,True,True,failed,,,,,,15815.0,,,,
qwen_7b,0.45,False,False,failed,,,,,,16863.0,,,,
qwen_7b,0.45,False,True,failed,,,,,,16863.0,,,,
qwen_7b,0.45,True,False,failed,,,,,,15815.0,,,,
qwen_7b,0.45,True,True,failed,,,,,,15815.0,,,,
qwen_7b,0.65,False,False,ok,6420.418,1000,6348.227426307128,0.09282861579631616,6365.576512650058,32009.0,29,,,0
qwen_7b,0.65,False,True,ok,5172.987,1000,5112.521383506238,0.07201593016659083,5128.537900464575,30079.0,29,118505.865216,4704968.900608,8742512
qwen_7b,0.65,True,False,ok,6232.078,1000,6159.432650957277,0.09756181550537148,6175.94398023326,29961.0,31,,,0
qwen_7b,0.65,True,True,ok,4917.497,1000,4856.435325936473,0.07980378170872338,4872.454843391326,30031.0,35,118531.03104,4730864.533504,8742512
qwen_7b,0.85,False,False,ok,5027.808,1000,4968.699077109072,0.13845648928446996,4985.077513746755,41161.0,23,,,0
qwen_7b,0.85,False,True,ok,3772.169,1000,3723.8672217846465,0.09784930693410591,3736.307441186688,39175.0,27,118547.808256,4681027.813376,8724080
qwen_7b,0.85,True,False,ok,4944.083,1000,4881.26707068448,0.13412824322201441,4902.100994013636,39049.0,22,,,0
qwen_7b,0.85,True,True,ok,3701.723,1000,3650.0660912858543,0.09383684814167642,3666.1846366254413,39127.0,24,118539.419648,4672119.11168,8711296
yi_6b,0.25,False,False,failed,,,,,,13787.0,,,,
yi_6b,0.25,False,True,failed,,,,,,13787.0,,,,
yi_6b,0.25,True,False,failed,,,,,,12241.0,,,,
yi_6b,0.25,True,True,failed,,,,,,12241.0,,,,
yi_6b,0.45,False,False,ok,1972.625,1000,1942.0023942480364,0.16888818675552955,1960.9936211921868,24111.0,23,,,0
yi_6b,0.45,False,True,ok,768.766,1000,749.0069555318111,0.07549964932405602,756.8530225915619,22841.0,27,14740.881408,579043.590144,8575936
yi_6b,0.45,True,False,ok,2490.905,1000,2452.448096965298,0.22959562722891375,2478.675787907125,20803.0,10,,,0
yi_6b,0.45,True,True,ok,733.892,1000,712.4252865632702,0.11697482580710464,721.9860665383877,20919.0,22,14739.832832,573567.926272,8559840
yi_6b,0.65,False,False,ok,1793.44,1000,1758.8983652501834,0.3689219524817077,1784.0143797934843,33199.0,22,,,0
yi_6b,0.65,False,True,ok,641.331,1000,617.4501515008177,0.22625516568405687,632.0324835026724,31941.0,17,14720.958464,553369.206784,8298032
yi_6b,0.65,True,False,ok,3034.119,1000,2984.972405388972,0.36346468399399806,3024.125558886497,29891.0,0,,,0
yi_6b,0.65,True,True,ok,663.327,1000,638.6922653913925,0.3050661443244601,654.0504703366198,30017.0,23,14741.929984,563197.509632,8395040
yi_6b,0.85,False,False,ok,1807.588,1000,1769.1976761470492,0.5829777531805892,1799.3573679375106,42281.0,15,,,0
yi_6b,0.85,False,True,ok,705.885,1000,678.5783229539048,0.37498971276444426,697.352428462822,41039.0,21,14706.2784,538182.680576,8037504
yi_6b,0.85,True,False,ok,3072.128,1000,3021.380268491588,0.38433739525779287,3062.6150686068368,39041.0,0,,,0
yi_6b,0.85,True,True,ok,700.737,1000,673.420238284854,0.32254643386744464,693.2005243837682,39115.0,24,14699.986944,563548.782592,8378896
