model,gpu_memory_utilization,chunked_prefill,kv_offloading,status,end_to_end_s,num_requests,p99_ttft_s,p99_tpot_s,p99_latency_s,max_gpu_mem_mib,num_preemptions,kv_offload_gpu_to_cpu_mb,kv_offload_cpu_to_gpu_mb,tokens_served_from_offload_cache
qwen_7b,0.45,True,False,failed,,,,,,15815.0,,,,
qwen_7b,0.45,True,True,failed,,,,,,15815.0,,,,
qwen_7b,0.65,False,False,ok,6435.322,1000,6362.989581101657,0.0936748205311955,6380.357920417604,32009.0,29,,,0
qwen_7b,0.65,False,True,ok,6491.585,1000,6418.391820306409,0.09240502491729764,6435.468722234206,32139.0,29,4716570.345472,121383.15776,0
qwen_7b,0.65,True,False,ok,6236.477,1000,6163.745501050895,0.09703838907924575,6180.262690317987,29961.0,30,,,0
qwen_7b,0.65,True,True,ok,6231.476,1000,6158.4749563922305,0.09556474606005308,6174.987408440087,30033.0,32,4716603.899904,125208.363008,35040
qwen_7b,0.85,False,False,ok,5043.981,1000,4984.757172723113,0.1389388968490271,5001.176515875404,41161.0,23,,,0
qwen_7b,0.85,False,True,ok,5104.402,1000,5044.369346395347,0.1381918586393895,5061.175321457076,41869.0,24,4716595.511296,91670.708224,0
qwen_7b,0.85,True,False,ok,4947.732,1000,4884.82639211503,0.13425678315706624,4905.705517801094,39049.0,20,,,0
qwen_7b,0.85,True,True,ok,4940.845,1000,4877.901413346124,0.1331345057984634,4898.809291751853,39129.0,21,4716629.065728,102257.13152,0
yi_6b,0.25,False,False,failed,,,,,,13787.0,,,,
yi_6b,0.25,False,True,failed,,,,,,13787.0,,,,
yi_6b,0.25,True,False,failed,,,,,,12241.0,,,,
yi_6b,0.25,True,True,failed,,,,,,12241.0,,,,
yi_6b,0.45,False,False,ok,1978.232,1000,1947.574402214491,0.1694128550600008,1966.5995515659542,24111.0,23,,,0
yi_6b,0.45,False,True,ok,1957.264,1000,1926.098513049779,0.16421648829971666,1945.131479865223,24215.0,24,589577.58464,13044.28544,0
yi_6b,0.45,True,False,ok,2497.843,1000,2459.2906097282003,0.2294076865000534,2485.593613978879,20803.0,10,,,0
yi_6b,0.45,True,True,ok,2480.206,1000,2441.8720027582826,0.23075413564174146,2468.0576563559207,20921.0,10,589571.293184,4784.652288,42688
yi_6b,0.65,False,False,ok,1798.303,1000,1763.774591020227,0.36955782454519664,1788.9047015961937,33199.0,22,,,0
yi_6b,0.65,False,True,ok,1774.364,1000,1739.8331527908508,0.36852634264266665,1764.972351951189,33313.0,19,589563.953152,11443.109888,0
yi_6b,0.65,True,False,ok,3039.531,1000,2990.296140119567,0.3637188623835778,3029.5463275204274,29889.0,0,,,0
yi_6b,0.65,True,True,ok,3040.328,1000,2991.2985737102676,0.3632295151274436,3030.2725186517428,30017.0,0,589576.536064,,0
yi_6b,0.85,False,False,ok,1813.996,1000,1775.6350472835873,0.5849208388587998,1805.7349282762698,42287.0,15,,,0
yi_6b,0.85,False,True,ok,1802.608,1000,1763.9401067996491,0.5744090615750999,1794.2726377022698,42411.0,17,589572.34176,9222.22592,0
yi_6b,0.85,True,False,ok,3073.921,1000,3023.191132139942,0.38476408979540705,3064.409924615507,39041.0,0,,,0
yi_6b,0.85,True,True,ok,3080.005,1000,3029.193104293968,0.3855585596033362,3070.496571537042,39113.0,0,589577.58464,,0
