batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,Batch Id,batch_num_tokens,batch_execution_time,inter_batch_delay,per_token_time,linear,attention
0,4,4,21.0,4.0,102.55745699396356,0.00026427197735755,25.63936424849089,0.7869999999999999,
1021,3,4,18.0,1024.0,332.17659848742187,0.0012300474918447001,0.3243912094603729,2.4817499999999995,
1024,0,1,3.0,1024.0,341.9184365193359,0.0001755410339683,0.33390472316341396,2.4869999999999997,
