qps,chunk_size,run_directory,total_rows,distinct_requests,distinct_preempted_requests,percent_requests_preempted,total_preemptions,prefill_preemptions,decode_preemptions,total_execution_time_sec,total_preempted_time_sec,total_scheduling_delay_sec,mean_execution_time_sec,mean_preempted_time_sec,mean_scheduling_delay_sec
10,4096,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_10_qps_mixtral,1000,1000,1000,100.0,221571,3194,218377,25126.54840828909,2727.712330553448,108755.19078416424,25.12654840828909,2.7277123305534476,108.75519078416424
15,128,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_15_qps_mixtral,1000,1000,1000,100.0,289731,71354,218377,13659.265476288507,282.34749490453396,1665550.511020463,13.659265476288507,0.282347494904534,1665.5505110204629
15,256,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_15_qps_mixtral,1000,1000,1000,100.0,254554,36177,218377,12647.598256180529,339.6007169021759,872282.316055552,12.647598256180528,0.3396007169021759,872.282316055552
15,512,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_15_qps_mixtral,1000,1000,1000,100.0,236965,18588,218377,12697.431718876353,612.5950456659775,479336.8835615901,12.697431718876352,0.6125950456659776,479.3368835615901
15,1024,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_15_qps_mixtral,1000,1000,1000,100.0,228169,9792,218377,13570.802293989342,1184.6792870492209,272070.38659350283,13.570802293989342,1.1846792870492209,272.0703865935028
15,2048,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_15_qps_mixtral,1000,1000,1000,100.0,223771,5394,218377,15265.901489403332,1818.5086115786107,157234.04642099922,15.265901489403332,1.8185086115786107,157.23404642099922
15,3072,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_15_qps_mixtral,1000,1000,1000,100.0,222305,3928,218377,19457.842573239002,1954.2958828669507,121386.66492160421,19.457842573239002,1.9542958828669508,121.38666492160421
15,4096,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_15_qps_mixtral,1000,1000,1000,100.0,221571,3194,218377,24955.810154892737,2815.0592035589507,123679.21321006282,24.95581015489274,2.815059203558951,123.67921321006283
20,128,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_20_qps_mixtral,1000,1000,1000,100.0,289731,71354,218377,13951.226781793288,235.18520120577887,1709355.6246791352,13.951226781793288,0.23518520120577888,1709.3556246791352
20,256,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_20_qps_mixtral,1000,1000,1000,100.0,254554,36177,218377,13077.679569823784,404.6462169601582,921806.2305873713,13.077679569823784,0.4046462169601582,921.8062305873713
20,512,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_20_qps_mixtral,1000,1000,1000,100.0,236965,18588,218377,12640.09341855743,656.7925259956392,479918.686835501,12.640093418557429,0.6567925259956392,479.918686835501
20,1024,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_20_qps_mixtral,1000,1000,1000,100.0,228169,9792,218377,13244.982145865099,1130.4268212034367,272411.6951755044,13.244982145865098,1.1304268212034367,272.4116951755044
20,2048,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_20_qps_mixtral,1000,1000,1000,100.0,223771,5394,218377,14636.70619327575,1582.7842329704436,155088.1364869679,14.63670619327575,1.5827842329704436,155.0881364869679
20,3072,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_20_qps_mixtral,1000,1000,1000,100.0,222305,3928,218377,20662.79328357801,2514.5436854126165,143347.97070338123,20.662793283578008,2.5145436854126166,143.34797070338124
20,4096,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_20_qps_mixtral,1000,1000,1000,100.0,221571,3194,218377,24885.408223886392,2748.209764125175,129695.39186024119,24.885408223886394,2.748209764125175,129.6953918602412
