chunk_size,1,5,10,15,20
128,289731,289731,289731,289731,289731
256,254554,254554,254554,254554,254554
512,236965,236965,236965,236965,236965
1024,227798,228169,228169,228169,228169
2048,223306,223771,223771,223771,223771
3072,221874,222305,222305,222305,222305
4096,221049,221571,221571,221571,221571
