model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
meta-llama/Llama-2-7b-hf,long_short,skip_join_mlfq,389.85,269.757169549726,0.11284447290867701,295.877334209173,0.7695267410542516,4150.396306271643,198.0941387713223,267.63113516057376,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,least_laxity_first,395.01,275.14545391176364,0.11458554230600837,301.4138712957175,0.75947444368497,4096.179843548265,195.50644287486392,272.99088051060215,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,hybrid,399.01,279.353693638579,0.1148780091788015,305.62498670828995,0.7518608556176537,4055.116413122478,193.54652765594847,277.18854981512294,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,adaptive_io_aging,396.42,277.01014755778016,0.11422464023440945,303.07939635412765,0.7567731194187982,4081.610413198123,194.81105897785176,274.8583584877429,0,39541.0
meta-llama/Llama-2-7b-hf,mixed,fcfs,2719.88,2172.8810917162937,0.1133935921395686,2526.250748416404,0.11029898377869611,535.129123343677,242.70813418239038,2172.4265312863276,90,39563.0
meta-llama/Llama-2-7b-hf,mixed,sjf,2712.48,2180.001694799671,0.10952933286523651,2537.5124163939713,0.11059989382410193,536.5890255412021,243.37027369787057,2177.9052095460293,39,39567.0
meta-llama/Llama-2-7b-hf,mixed,ljf,2725.28,2228.418764381269,0.11206349380094814,2518.3859693266495,0.11008043210238948,534.0687929313685,242.22722068925026,2194.7594576285173,164,39609.0
meta-llama/Llama-2-7b-hf,mixed,prompt_len_sjf,2774.81,2276.67846396273,0.11294653650008134,2571.57811958136,0.10811551061153737,524.5357339781823,237.90349609522815,2276.222574661761,52,39531.0
meta-llama/Llama-2-7b-hf,mixed,prefill_aging_fairness,2704.48,2163.623568102428,0.11183597412506471,2515.1836890469676,0.11092705436904692,538.1762852748033,244.09017630006508,2163.1690084621355,90,39563.0
meta-llama/Llama-2-7b-hf,mixed,vtc_fairness,2703.17,2170.036105442751,0.10642588629836236,2524.077401806754,0.11098081141770588,538.4370942264082,244.208466356167,2154.851309114201,51,39563.0
meta-llama/Llama-2-7b-hf,mixed,skip_join_mlfq,2703.13,2292.4213784645917,0.11268655196088315,2552.668103623064,0.11098245367407412,538.4450618357238,244.2120800701409,2247.679418089282,42,39455.0
meta-llama/Llama-2-7b-hf,mixed,least_laxity_first,2639.26,2192.5168977704175,0.11073141487088202,2502.419588571107,0.11366822518433196,551.4754135628925,250.12200389503116,2050.4101258942383,61,39455.0
meta-llama/Llama-2-7b-hf,mixed,hybrid,2736.51,2206.769574418012,0.10830458157820375,2542.4607962753807,0.1096286876349803,531.8770989325819,241.23317656430999,2149.2951550470752,66,39579.0
meta-llama/Llama-2-7b-hf,mixed,adaptive_io_aging,2712.53,2169.7987943153453,0.11275177815277991,2519.8263907786877,0.11059785513892934,536.5791346086495,243.3657876594913,2169.3436947459863,90,39563.0
