model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
llama,1024,15,614.47,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_llama
llama,2048,15,657.86,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_llama
llama,3072,15,655.18,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_llama
llama,4096,15,675.61,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_llama
llama,128,20,797.76,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_20_qps_llama
llama,256,20,604.38,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_20_qps_llama
llama,512,20,590.62,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_20_qps_llama
llama,1024,20,615.53,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_20_qps_llama
llama,2048,20,652.81,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_20_qps_llama
llama,3072,20,656.89,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_20_qps_llama
llama,4096,20,674.50,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_20_qps_llama
mistral,128,1,594.23,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_1_qps_mistral
mistral,256,1,378.91,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_1_qps_mistral
mistral,512,1,304.07,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_1_qps_mistral
mistral,1024,1,306.18,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_1_qps_mistral
mistral,2048,1,313.40,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_1_qps_mistral
mistral,3072,1,320.17,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_1_qps_mistral
mistral,4096,1,329.55,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_1_qps_mistral
mistral,128,5,597.30,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_5_qps_mistral
mistral,256,5,375.92,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_5_qps_mistral
mistral,512,5,297.35,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_5_qps_mistral
mistral,1024,5,302.02,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_5_qps_mistral
mistral,2048,5,313.59,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_5_qps_mistral
mistral,3072,5,314.71,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_5_qps_mistral
mistral,4096,5,323.89,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_5_qps_mistral
mistral,128,10,598.40,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_10_qps_mistral
mistral,256,10,372.42,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_10_qps_mistral
mistral,512,10,292.72,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_10_qps_mistral
mistral,1024,10,297.19,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_10_qps_mistral
mistral,2048,10,312.34,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_10_qps_mistral
mistral,3072,10,315.65,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_10_qps_mistral
mistral,4096,10,324.02,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_10_qps_mistral
mistral,128,15,602.03,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_15_qps_mistral
mistral,256,15,385.53,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_15_qps_mistral
mistral,512,15,294.26,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_15_qps_mistral
mistral,1024,15,298.26,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_mistral
mistral,2048,15,315.59,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_mistral
mistral,3072,15,319.07,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_mistral
mistral,4096,15,323.23,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_mistral
mistral,128,20,581.48,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_20_qps_mistral
mistral,256,20,377.74,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_20_qps_mistral
mistral,512,20,296.55,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_20_qps_mistral
mistral,1024,20,300.27,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_20_qps_mistral
mistral,2048,20,312.16,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_20_qps_mistral
mistral,3072,20,316.70,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_20_qps_mistral
mistral,4096,20,323.56,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_20_qps_mistral
mixtral,128,1,387.09,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_1_qps_mixtral
