model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
llama,512,15,319.53,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_15_qps_llama
llama,1024,15,324.33,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_15_qps_llama
llama,2048,15,333.03,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_15_qps_llama
llama,3072,15,331.67,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_15_qps_llama
llama,4096,15,333.44,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_15_qps_llama
llama,128,20,450.28,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_20_qps_llama
llama,256,20,327.58,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_20_qps_llama
llama,512,20,313.38,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_20_qps_llama
llama,1024,20,332.80,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_20_qps_llama
llama,2048,20,327.94,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_20_qps_llama
