qps,chunk_size,total_time,status,sequence_metrics_csv,output_dir
15,1024,1101.55,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_15_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_15_qps_yi
15,2048,1022.25,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_15_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_15_qps_yi
15,3072,997.68,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_15_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_15_qps_yi
15,4096,966.64,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_15_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_15_qps_yi
20,128,3792.36,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_20_qps_yi
20,256,1875.24,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_20_qps_yi
20,512,1248.30,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_20_qps_yi
20,1024,1100.94,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_20_qps_yi
20,2048,1013.83,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_20_qps_yi
20,3072,995.71,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_20_qps_yi
20,4096,981.96,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_20_qps_yi
