model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
llama2_7b,long_short,hybrid,399.01,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_short_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_short_sched_policy_hybrid_chunk512_qps3_n300
llama2_7b,long_short,adaptive_io_aging,396.42,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_short_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_short_sched_policy_adaptive_io_aging_chunk512_qps3_n300
llama2_7b,mixed,fcfs,2719.88,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_fcfs_chunk512_qps3_n300
llama2_7b,mixed,sjf,2712.48,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_sjf_chunk512_qps3_n300
llama2_7b,mixed,ljf,2725.28,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_ljf_chunk512_qps3_n300
llama2_7b,mixed,prompt_len_sjf,2774.81,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_prompt_len_sjf_chunk512_qps3_n300
llama2_7b,mixed,prefill_aging_fairness,2704.48,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
llama2_7b,mixed,vtc_fairness,2703.17,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_vtc_fairness_chunk512_qps3_n300
llama2_7b,mixed,skip_join_mlfq,2703.13,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_skip_join_mlfq_chunk512_qps3_n300
llama2_7b,mixed,least_laxity_first,2639.26,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_least_laxity_first_chunk512_qps3_n300
