Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
Arxiv,mixtral,2048,92.24 s,300,Poisson 10 QPS
Arxiv,mixtral,3072,90.72 s,300,Poisson 10 QPS
Arxiv,mixtral,4096,85.67 s,300,Poisson 10 QPS
Arxiv,mixtral,128,398.25 s,300,Poisson 15 QPS
Arxiv,mixtral,256,224.01 s,300,Poisson 15 QPS
Arxiv,mixtral,512,143.44 s,300,Poisson 15 QPS
Arxiv,mixtral,1024,112.72 s,300,Poisson 15 QPS
Arxiv,mixtral,2048,86.66 s,300,Poisson 15 QPS
Arxiv,mixtral,3072,87.72 s,300,Poisson 15 QPS
Arxiv,mixtral,4096,87.71 s,300,Poisson 15 QPS
Arxiv,mixtral,128,396.67 s,300,Poisson 20 QPS
Arxiv,mixtral,256,226.31 s,300,Poisson 20 QPS
Arxiv,mixtral,512,146.45 s,300,Poisson 20 QPS
Arxiv,mixtral,1024,109.14 s,300,Poisson 20 QPS
Arxiv,mixtral,2048,90.41 s,300,Poisson 20 QPS
Arxiv,mixtral,3072,91.64 s,300,Poisson 20 QPS
Arxiv,mixtral,4096,88.17 s,300,Poisson 20 QPS
Arxiv,qwen,128,808.87 s,300,Poisson 1 QPS
Arxiv,qwen,256,618.32 s,300,Poisson 1 QPS
Arxiv,qwen,512,599.02 s,300,Poisson 1 QPS
Arxiv,qwen,1024,634.74 s,300,Poisson 1 QPS
Arxiv,qwen,2048,672.94 s,300,Poisson 1 QPS
Arxiv,qwen,3072,684.35 s,300,Poisson 1 QPS
Arxiv,qwen,4096,679.61 s,300,Poisson 1 QPS
Arxiv,qwen,128,809.97 s,300,Poisson 5 QPS
Arxiv,qwen,256,615.05 s,300,Poisson 5 QPS
Arxiv,qwen,512,604.12 s,300,Poisson 5 QPS
Arxiv,qwen,1024,634.99 s,300,Poisson 5 QPS
Arxiv,qwen,2048,675.11 s,300,Poisson 5 QPS
Arxiv,qwen,3072,676.54 s,300,Poisson 5 QPS
Arxiv,qwen,4096,683.38 s,300,Poisson 5 QPS
Arxiv,qwen,128,800.90 s,300,Poisson 10 QPS
Arxiv,qwen,256,615.07 s,300,Poisson 10 QPS
Arxiv,qwen,512,597.64 s,300,Poisson 10 QPS
Arxiv,qwen,1024,626.40 s,300,Poisson 10 QPS
Arxiv,qwen,2048,673.32 s,300,Poisson 10 QPS
Arxiv,qwen,3072,685.55 s,300,Poisson 10 QPS
Arxiv,qwen,4096,677.63 s,300,Poisson 10 QPS
Arxiv,qwen,128,820.69 s,300,Poisson 15 QPS
Arxiv,qwen,256,619.99 s,300,Poisson 15 QPS
Arxiv,qwen,512,601.38 s,300,Poisson 15 QPS
Arxiv,qwen,1024,630.39 s,300,Poisson 15 QPS
Arxiv,qwen,2048,671.44 s,300,Poisson 15 QPS
Arxiv,qwen,3072,680.26 s,300,Poisson 15 QPS
Arxiv,qwen,4096,681.43 s,300,Poisson 15 QPS
Arxiv,qwen,128,796.81 s,300,Poisson 20 QPS
Arxiv,qwen,256,624.03 s,300,Poisson 20 QPS
Arxiv,qwen,512,604.14 s,300,Poisson 20 QPS
Arxiv,qwen,1024,627.20 s,300,Poisson 20 QPS
Arxiv,qwen,2048,670.38 s,300,Poisson 20 QPS
Arxiv,qwen,3072,689.96 s,300,Poisson 20 QPS
Arxiv,qwen,4096,684.17 s,300,Poisson 20 QPS
Arxiv,yi,128,532.36 s,300,Poisson 1 QPS
Arxiv,yi,256,325.38 s,300,Poisson 1 QPS
Arxiv,yi,512,296.36 s,300,Poisson 1 QPS
Arxiv,yi,1024,298.31 s,300,Poisson 1 QPS
Arxiv,yi,2048,300.80 s,300,Poisson 1 QPS
Arxiv,yi,3072,300.67 s,300,Poisson 1 QPS
Arxiv,yi,4096,303.07 s,300,Poisson 1 QPS
Arxiv,yi,128,529.32 s,300,Poisson 5 QPS
Arxiv,yi,256,340.83 s,300,Poisson 5 QPS
Arxiv,yi,512,248.48 s,300,Poisson 5 QPS
Arxiv,yi,1024,245.05 s,300,Poisson 5 QPS
Arxiv,yi,2048,231.86 s,300,Poisson 5 QPS
Arxiv,yi,3072,225.21 s,300,Poisson 5 QPS
Arxiv,yi,4096,235.51 s,300,Poisson 5 QPS
Arxiv,yi,128,523.45 s,300,Poisson 10 QPS
Arxiv,yi,256,334.80 s,300,Poisson 10 QPS
Arxiv,yi,512,247.28 s,300,Poisson 10 QPS
Arxiv,yi,1024,246.65 s,300,Poisson 10 QPS
Arxiv,yi,2048,232.33 s,300,Poisson 10 QPS
Arxiv,yi,3072,223.75 s,300,Poisson 10 QPS
Arxiv,yi,4096,234.88 s,300,Poisson 10 QPS
Arxiv,yi,128,547.06 s,300,Poisson 15 QPS
Arxiv,yi,256,336.89 s,300,Poisson 15 QPS
Arxiv,yi,512,246.63 s,300,Poisson 15 QPS
Arxiv,yi,1024,245.97 s,300,Poisson 15 QPS
Arxiv,yi,2048,234.22 s,300,Poisson 15 QPS
Arxiv,yi,3072,224.84 s,300,Poisson 15 QPS
Arxiv,yi,4096,253.46 s,300,Poisson 15 QPS
Arxiv,yi,128,539.06 s,300,Poisson 20 QPS
Arxiv,yi,256,343.27 s,300,Poisson 20 QPS
Arxiv,yi,512,248.33 s,300,Poisson 20 QPS
Arxiv,yi,1024,244.73 s,300,Poisson 20 QPS
Arxiv,yi,2048,233.82 s,300,Poisson 20 QPS
Arxiv,yi,3072,225.60 s,300,Poisson 20 QPS
Arxiv,yi,4096,234.99 s,300,Poisson 20 QPS
