model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
mistral,1024,10,297.19,250.24651083963573,0.2184563181954021,275.7679872627993,1.0094552306605202,9028.981459672264,223.82650829435715,247.44784102012173,0,39902.0
mistral,2048,10,312.34,264.0263013202097,0.2884956072459287,291.5128525470884,0.9604917717871551,8591.032208490748,212.9698405583659,262.16899826756503,0,39882.0
mistral,3072,10,315.65,267.4222883742233,0.3317119994333623,294.1538525804109,0.9504197687311897,8500.94408363694,210.7365753207667,265.65099050932673,0,39890.0
mistral,4096,10,324.02,275.63401764987907,0.335584135169784,303.1683044011274,0.9258687735324981,8281.34991667181,205.29288315536078,274.56551715226027,0,39898.0
mistral,128,15,602.03,573.1101589564129,0.06117465943035344,584.2984548081516,0.4983140375064366,4457.125060212947,110.49117153630218,567.7594246052602,0,39888.0
mistral,256,15,385.53,356.0047750486428,0.07768815353282657,370.96557850627585,0.7781495603454984,6960.08870904988,172.53910201540737,352.7170716428006,0,39982.0
mistral,512,15,294.26,263.21789831417146,0.11411867887888684,281.1038680607564,1.0195065588255285,9118.884659824645,226.05518928838444,260.50909813545354,0,39984.0
mistral,1024,15,298.26,260.89886783785533,0.2178178398114612,285.18201607262193,1.0058338362502515,8996.590223295112,223.02353651176827,258.11746152402657,0,39902.0
mistral,2048,15,315.59,276.74907299728886,0.28989446244658995,302.7113007447263,0.9506004626255585,8502.560283912671,210.7766405779651,274.8956474043108,0,39882.0
mistral,3072,15,319.07,280.1720413333236,0.32269653728422176,305.7319634181051,0.9402325508509105,8409.825430156392,208.4777635001724,278.23622032785266,0,39890.0
mistral,4096,15,323.23,282.8249007076758,0.33260285310335663,309.56428821364244,0.9281316709463848,8301.590198929554,205.79463539894192,281.7405042330985,0,39898.0
mistral,128,20,581.48,557.4054938494746,0.060013452764327804,568.3283820472832,0.5159248813372773,4614.643667881956,114.3960239389145,552.1346123045374,0,39888.0
mistral,256,20,377.74,353.8900026023079,0.07522364820653518,368.0149798287667,0.7941970667655001,7103.624185948006,176.09731561391433,350.5686806087085,0,39982.0
mistral,512,20,296.55,269.83747052438383,0.11541046807390783,287.8034239494661,1.0116337885685383,9048.467374810318,224.30955993930198,266.9153047195595,0,39984.0
mistral,1024,20,300.27,267.57687681108945,0.21800603458568582,291.59795559105345,0.9991008092716556,8936.367269457489,221.53062243980418,264.7884624944528,0,39902.0
mistral,2048,20,312.16,278.3792331443657,0.2898824950804825,303.72104967217194,0.9610456176319835,8595.98603280369,213.09264479753972,276.6614742341177,0,39882.0
mistral,3072,20,316.70,282.40167626866315,0.3309111440814186,306.99527245695816,0.9472687085569941,8472.759709504264,210.03789074834228,280.5992022851057,0,39890.0
mistral,4096,20,323.56,288.6906860919832,0.32725702197197143,315.00444600995456,0.9271850661392014,8293.123377426135,205.58474471504513,287.54911293463954,0,39898.0
mixtral,128,1,387.09,97.73651139639608,0.04052670930252295,107.19703273232734,0.775013562737348,6932.039060683563,171.84375726575217,94.1302558522549,0,39886.0
mixtral,256,1,291.34,7.7737225610215654,0.04507975038353054,22.221072879398697,1.0297247202581177,9210.280085123912,228.32086222283246,6.385315257476177,0,39866.0
mixtral,512,1,287.95,6.773769024681532,0.04681017620795093,21.60691637983253,1.0418475429762113,9318.711581871854,231.00885570411532,6.062589469266823,0,39884.0
mixtral,1024,1,289.05,6.038143275088513,0.046085622555039035,19.79190207690581,1.0378827192527245,9283.248572911261,230.12973533990657,5.652934243831551,0,39906.0
mixtral,2048,1,287.61,6.223005285157704,0.047186310699069936,19.74965877008158,1.043079169708981,9329.727756336706,231.28194429957233,5.904996926588355,0,39906.0
mixtral,3072,1,286.83,6.4467040659050685,0.048281840773352215,19.861607990958714,1.045915699194645,9355.098839033575,231.91088798242862,6.075557330110459,0,39914.0
mixtral,4096,1,287.98,5.330099913998855,0.051976164596597756,20.709801635704924,1.041739009653448,9317.740815334397,230.98479061045904,4.946515186137985,0,39910.0
mixtral,128,5,388.30,325.9275451131351,0.04068804928845832,333.7975905464968,0.7725985063095544,6910.437805820242,171.3082668040175,322.5478388563334,0,39886.0
mixtral,256,5,226.95,165.69910675722699,0.04589760828847883,175.07993105388246,1.3218770654329148,11823.410442828817,293.0998017184402,163.6267772779177,0,39904.0
mixtral,512,5,141.48,79.9585494399193,0.05654777272572525,91.43694947536278,2.1204410517387617,18966.0941475827,470.16539440203564,78.7098742789909,0,39906.0
mixtral,1024,5,110.65,44.703436231631784,0.0796729216046612,66.29430048653506,2.711251694532309,24250.54676909173,601.1658382286489,43.62789659839065,0,39904.0
mixtral,2048,5,87.97,17.202886021254816,0.12326154801975747,57.35078975216019,3.410253495509833,30502.705467773107,756.1555075593952,16.381169022454994,0,39906.0
mixtral,3072,5,89.52,14.750939705786877,0.1797513506558251,69.20986797870485,3.351206434316354,29974.56434316354,743.0630026809652,13.862234048363167,0,39900.0
mixtral,4096,5,87.01,7.881227336217416,0.21894921173855936,73.29146806351956,3.447879554074244,30839.24836225721,764.4983335248821,7.149890778487896,0,39892.0
mixtral,128,10,394.02,359.8274908179097,0.0407731216097977,367.52580195646385,0.7613826709304097,6810.118775696666,168.82137962539974,355.9196528413036,0,39886.0
mixtral,256,10,223.76,190.41524098891475,0.04648094338269459,200.2512517544709,1.3407222023596712,11991.969074007866,297.2783339292099,188.40257220366038,0,39904.0
mixtral,512,10,145.24,112.82563954775162,0.056854561808454426,122.81288060756108,2.0655466813549985,18475.09639217846,457.9936656568438,111.58178193653875,0,39906.0
mixtral,1024,10,109.19,71.67706772816426,0.07860671579134898,88.45889492887422,2.7475043502152214,24574.805385108528,609.204139573221,70.65820884179149,0,39904.0
mixtral,2048,10,92.24,49.91950308722385,0.12503952686611475,74.74076742274279,3.2523850823937557,29090.665654813532,721.1513443191674,49.011455139137105,0,39906.0
mixtral,3072,10,90.72,43.84723062595527,0.1777188266394313,78.02582008728466,3.306878306878307,29578.075396825396,733.234126984127,42.886881602064825,0,39900.0
