model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
llama,4096,5,336.90,230.81860362209116,0.1980092595369298,282.59131310849386,0.8904719501335708,2355.28643514396,392.2469575541704,230.60167165459822,9,39497.0
llama,128,10,454.14,395.05801778621867,0.0798642993254859,429.2755052579315,0.6605892456070815,1747.2497467741225,290.98515876161537,394.8979993823475,0,39591.0
llama,256,10,336.07,265.3826010253287,0.1046682468824165,307.48270982690786,0.8926711696967894,2361.1033415657453,393.2156991103044,265.2239863720275,0,39521.0
llama,512,10,327.16,249.96799723596877,0.12473404235093205,299.3286774136622,0.9169825162000244,2425.406528915515,403.9246851693361,249.58451817728553,2,39567.0
llama,1024,10,330.86,253.1390152227798,0.13020126082690828,302.40236421925255,0.9067279211751194,2398.283261802575,399.40760442483224,252.91074542952597,7,39559.0
llama,2048,10,333.63,254.9148471333012,0.19021598217546012,305.0804425921214,0.8991997122560921,2378.3712495878667,396.0914785840602,254.43612513140624,6,39483.0
llama,3072,10,330.50,252.56275244914985,0.1985314839714062,301.66366838246273,0.9077155824508321,2400.8956127080182,399.8426626323752,252.32798942711193,4,39429.0
llama,4096,10,333.13,257.0072117558235,0.2011040114382853,305.1094633170724,0.9005493350944076,2381.9409840002404,396.6859784468526,256.7913280404186,9,39497.0
llama,128,15,445.42,396.25706515484507,0.07992366357147275,429.60326863114534,0.6735216200440034,1781.4557047281216,296.68178348524987,396.0963562000668,0,39591.0
llama,256,15,334.41,273.2910539830503,0.10418461585532623,314.0866196000556,0.8971023593792051,2372.8237791932056,395.167608624144,273.1508326890759,0,39521.0
llama,512,15,319.53,252.5758106850828,0.12319145174550307,300.1280667950973,0.9388789784996715,2483.322379745251,413.5699308359153,252.30484518595642,2,39567.0
llama,1024,15,324.33,256.87093756324316,0.1322380091538476,304.4357761758608,0.9249838127832763,2446.569851694262,407.44920297228134,256.6191355680144,7,39559.0
llama,2048,15,333.03,263.9885986702913,0.1879502827919159,312.8660713342106,0.9008197459688317,2382.656217157614,396.80509263429724,263.61806911866876,6,39483.0
llama,3072,15,331.67,262.2319320706254,0.19651622130168883,310.51591797245857,0.904513522477161,2392.426206771791,398.43217656103957,261.9975428913744,4,39429.0
llama,4096,15,333.44,265.900401906891,0.19796016093992955,312.9562367164016,0.8997120921305183,2379.7264875239925,396.3171785028791,265.68410888246984,9,39497.0
llama,128,20,450.28,404.76564261128135,0.08005524483807458,438.9288911123092,0.6662521097983477,1762.2279470551657,293.4796126854402,404.60209734812685,0,39591.0
llama,256,20,327.58,271.4110484345032,0.10340188223582046,311.0018824359825,0.9158068258135418,2422.2968435191406,403.4068013920264,271.2792572042452,0,39521.0
llama,512,20,313.38,254.05739601397607,0.12242161897840653,297.5807324574017,0.9573042312847023,2532.0569276916203,421.6861318527028,253.85514812793218,2,39567.0
llama,1024,20,332.80,268.21299545749565,0.13396901980407458,316.77008084024527,0.9014423076923077,2384.3028846153848,397.0793269230769,267.97125244508584,7,39559.0
llama,2048,20,327.94,263.8904735613969,0.18701067040151925,311.6659233817461,0.9148014880770873,2419.6377386107215,402.9639568213698,263.545167629599,6,39483.0
llama,3072,20,330.97,266.85484238154817,0.19561346751806566,314.6750705174125,0.9064265643411789,2397.4861769948934,399.27485874852704,266.6199040533964,4,39429.0
llama,4096,20,337.91,274.7591413118285,0.2014429992438858,321.7445852960732,0.8878103637063123,2348.24657453168,391.0745464768725,274.54188563212773,9,39497.0
mistral,128,1,400.52,92.54208545374551,0.06820399570813884,138.84435477213512,0.7490262658543894,1981.1644861679817,329.9410766004195,91.93226425026165,0,39597.0
mistral,256,1,312.41,3.5845310880072003,0.06772477120455711,62.752120727158164,0.9602765596491789,2539.918696584616,422.9954226817323,3.162278829117276,0,39617.0
mistral,512,1,310.91,2.2622513372487445,0.07196711271885362,61.88876343220094,0.9649094593290662,2552.1726544659223,425.0361841047248,1.9796195640040952,0,39583.0
mistral,1024,1,312.03,2.1780699780839488,0.08123265529394923,67.48581527403425,0.9614460148062687,2543.0118898823835,423.51055988206264,1.9329726313234992,0,39679.0
mistral,2048,1,313.11,2.280241147148916,0.08911384798909415,72.60577341824201,0.9581297307655456,2534.2403628117913,422.0497588706844,2.047963661377871,0,39523.0
mistral,3072,1,313.87,2.0462639775204283,0.08727369443077608,72.61145167678667,0.9558097301430528,2528.1039920986395,421.02781406314716,1.6600013690102762,0,39607.0
mistral,4096,1,315.06,1.7921077080017114,0.0866711719013858,71.31042597565435,0.9521995810321844,2518.5551958357137,419.4375674474703,1.3751952712652542,0,39563.0
mistral,128,5,404.28,319.1823335412025,0.06858467205925599,351.43608260000633,0.7420599584446423,1962.7386959532998,326.8724646284753,318.7353095687865,0,39597.0
mistral,256,5,247.39,152.5782828725672,0.07846424925870249,193.64218303801533,1.2126601721977446,3207.4699866607384,534.1687214519585,152.36613935887232,0,39575.0
mistral,512,5,208.25,101.32578345768897,0.12990045068047032,156.3301962480758,1.440576230492197,3810.3049219687873,634.5642256902761,101.08033490939474,0,39545.0
mistral,1024,5,189.57,63.725428451181806,0.20333000032745607,151.1534851053296,1.582528881152081,4185.767790262173,697.0934219549507,63.42630575626826,0,39701.0
mistral,2048,5,183.20,54.52020291956389,0.28630714858837447,157.42725418246454,1.6375545851528386,4331.3100436681225,721.3318777292577,53.87113776207217,0,39515.0
mistral,3072,5,181.60,51.662151410076184,0.35837629314775027,156.8246879039443,1.6519823788546255,4369.471365638767,727.6872246696036,51.22345182043063,0,39607.0
mistral,4096,5,174.90,49.41363187350318,0.43603964134253437,152.15104014232375,1.7152658662092624,4536.855345911949,755.5631789594054,49.02043577803241,0,39563.0
mistral,128,10,374.42,316.423826617422,0.0659479690054899,349.40792664526424,0.8012392500400619,2119.267133165963,352.940548047647,316.2847343230991,0,39597.0
mistral,256,10,250.93,183.9189718107786,0.07877955579908706,222.25464339831916,1.1955525445343322,3162.220539592715,526.6329255170765,183.71946938214694,0,39575.0
mistral,512,10,205.97,127.18108078738094,0.12815522079038466,178.88727561105915,1.4565227945817352,3852.4833713647618,641.5885808612904,126.87004293958671,0,39545.0
mistral,1024,10,189.38,90.46564261015067,0.19967643108522196,163.56843008007198,1.5841165909810961,4189.967261590453,697.7927975498997,90.18954145832684,0,39701.0
mistral,2048,10,183.16,81.77143961168257,0.2860979108754656,163.08201186878838,1.6379122079056563,4332.255951081022,721.4894081677222,81.31080961917701,0,39515.0
mistral,3072,10,180.69,80.05529167826884,0.36058736731267305,162.12768839888653,1.6603021749958493,4391.477115501688,731.3520394045049,79.69514059139256,0,39607.0
mistral,4096,10,179.86,81.64138516813632,0.44819753740178997,161.53620007368107,1.6679639719782051,4411.742466362726,734.7270098965862,81.23818002527608,0,39563.0
mistral,128,15,390.23,342.1658485180579,0.0689204761303641,374.5657809410244,0.7687773876944366,2033.4059400866156,338.6413140968147,342.0232442176626,0,39597.0
mistral,256,15,246.42,189.69710397764982,0.07748466993248669,225.85932859205903,1.2174336498660823,3220.095771447123,536.2714065416768,189.54749981715474,0,39575.0
mistral,512,15,206.83,136.94709229929984,0.12926589578224326,187.83953319651977,1.4504665667456365,3836.464729487985,638.9208528743412,136.79656569053418,0,39545.0
mistral,1024,15,189.60,100.03059777823844,0.20438396073190404,171.25694376839832,1.5822784810126582,4185.105485232068,696.9831223628693,99.71317622716684,0,39701.0
mistral,2048,15,183.75,90.8277516625932,0.28127598564084366,167.01709329571938,1.6326530612244898,4318.345578231292,719.1727891156463,90.42704219203702,0,39515.0
mistral,3072,15,182.65,90.29774501577603,0.36227851913736747,166.18976772541487,1.6424856282507527,4344.352586914864,723.5039693402682,90.04368350678779,0,39607.0
mistral,4096,15,183.21,91.42810260529659,0.4484105160440843,167.82948710406504,1.6374652038644177,4331.073631352,721.2925058675836,91.0222472843289,0,39563.0
mistral,128,20,400.40,356.36894981467964,0.067548313983425,389.0685335711398,0.7492507492507493,1981.7582417582419,330.0399600399601,356.22733162527567,0,39597.0
mistral,256,20,236.29,185.36688970646557,0.07732114533018308,219.94006425892408,1.2696263066570739,3358.144652757205,559.2619239070634,185.2209707480145,0,39575.0
mistral,512,20,202.47,137.4999049749956,0.12835599898487474,187.64777440417822,1.4817009927396652,3919.0793697831778,652.6794092952042,137.35753236564648,0,39545.0
mistral,1024,20,171.48,98.03026496607562,0.19218748607541322,157.55982699005776,1.7494751574527643,4627.338465127129,770.6321436902263,97.78754187451341,0,39701.0
mistral,2048,20,179.99,94.41905788699208,0.28520112463618535,166.03606812548938,1.6667592644035778,4408.556030890605,734.1963442413467,94.06461781439121,0,39515.0
mistral,3072,20,181.96,94.16123425000201,0.36301831557436015,167.78087354329023,1.6487140030775993,4360.826555286876,726.2475269289954,93.92270581195072,0,39607.0
mistral,4096,20,172.35,90.58260286502467,0.43584746843890226,158.89413542008188,1.7406440382941688,4603.980272700899,766.7420945749927,90.19235632577025,0,39563.0
mixtral,128,1,370.00,65.96151480340296,0.0637551632821915,109.5770997827388,0.8108108108108109,2144.583783783784,357.15675675675675,64.48590973074081,0,39409.0
mixtral,256,1,308.73,3.2707080072029164,0.06301980326761285,56.64103182148537,0.9717228646390049,2570.194020665306,428.03744372105075,2.71267356287004,0,39425.0
mixtral,512,1,308.61,2.1267734254924284,0.059886824819392157,51.6725704730938,0.972100709633518,2571.1934156378597,428.2038819221671,1.8710328096633002,0,39423.0
mixtral,1024,1,308.63,1.928419110444082,0.05615337275398288,51.613085570782566,0.9720377150633445,2571.0267958396785,428.1761332339695,1.770861016848501,0,39449.0
mixtral,2048,1,308.88,1.844644526413611,0.05650391663208773,51.73968552571837,0.9712509712509713,2568.945868945869,427.82957782957783,1.7295766513963446,0,39419.0
mixtral,3072,1,309.16,1.6425178389169723,0.05664467990547159,51.96893307882768,0.9703713287618061,2566.619226290594,427.44210117738385,1.5113845502644812,0,39443.0
mixtral,4096,1,308.35,1.654855130605718,0.0565196676389436,50.789001396430095,0.9729203826820171,2573.361439922166,428.56494243554397,1.5112860196444649,0,39415.0
mixtral,128,5,360.09,278.35998362958446,0.062456159671975424,307.0248471420479,0.8331250520703158,2203.604654391958,366.98603126996034,277.9119049024432,0,39409.0
mixtral,256,5,223.95,132.67098468129888,0.0720184308241109,170.229645903178,1.3395847287340925,3543.183746371958,590.0781424425095,132.56844001761476,0,39425.0
mixtral,512,5,156.72,55.23015076360811,0.08622499107537944,104.69881615137548,1.9142419601837672,5063.144461459929,843.2108218478816,54.976123757238526,0,39457.0
