chunk=512,qps=3,n=300,model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,,,meta-llama/Llama-2-7b-hf,short_long,adaptive_io_aging,3011.31,2552.393,0.111972,2829.836,0.099624,438.7429,414.1171,1876.408,765,39689
,,,meta-llama/Llama-2-7b-hf,short_short,fcfs,105.61,1.335262,0.062154,15.70871,2.84064,1136.947,404.3083,1.27345,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,sjf,107.76,1.303983,0.064165,16.25284,2.783964,1114.263,396.2416,1.240039,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,ljf,106.99,1.361415,0.066188,16.40458,2.804,1122.282,399.0934,1.296871,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,prompt_len_sjf,105.19,1.222167,0.060646,14.66477,2.851982,1141.487,405.9226,1.157882,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,prefill_aging_fairness,107.26,1.361624,0.063219,16.39181,2.796942,1119.457,398.0888,1.297208,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,vtc_fairness,105.06,1.375052,0.068018,16.23941,2.855511,1142.899,406.4249,1.310796,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,skip_join_mlfq,107.09,1.355467,0.067334,16.76946,2.801382,1121.234,398.7207,1.291782,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,least_laxity_first,107,1.35585,0.064653,16.01678,2.803738,1122.178,399.0561,1.291909,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,hybrid,105.8,1.338911,0.064883,16.23438,2.835539,1134.905,403.5822,1.276178,0,39415
,,,meta-llama/Llama-2-7b-hf,short_short,adaptive_io_aging,107.34,1.284226,0.077608,16.35954,2.794857,1118.623,397.7921,1.219817,0,39415
,,,01-ai/Yi-6B,long_long,fcfs,1960.01,1106.392,0.173746,1850.91,0.15306,1454.585,663.5762,1102.796,19,39809
,,,01-ai/Yi-6B,long_long,sjf,1992.33,1136.862,0.176389,1885.938,0.150577,1430.988,652.8115,1133.228,10,39809
,,,01-ai/Yi-6B,long_long,ljf,1982.89,1134.868,0.172178,1875.151,0.151294,1437.801,655.9194,1131.386,29,39809
,,,01-ai/Yi-6B,long_long,prompt_len_sjf,2000.47,1149.638,0.176072,1892.589,0.149965,1425.166,650.1552,1146.157,10,39809
,,,01-ai/Yi-6B,long_long,prefill_aging_fairness,1934.04,1115.396,0.174896,1826.798,0.155116,1474.117,672.4866,1111.829,19,39809
,,,01-ai/Yi-6B,long_long,vtc_fairness,1992.45,1133.058,0.176112,1883.497,0.150568,1430.902,652.7722,1129.326,10,39809
,,,01-ai/Yi-6B,long_long,skip_join_mlfq,1982.58,1148.626,0.177283,1874.569,0.151318,1438.026,656.022,1144.933,8,39809
,,,01-ai/Yi-6B,long_long,least_laxity_first,2012.11,1146.649,0.175551,1904.064,0.149097,1416.921,646.3941,1143.112,14,39809
,,,01-ai/Yi-6B,long_long,hybrid,1996.98,1139.083,0.176041,1889.875,0.150227,1427.656,651.2915,1135.387,18,39809
,,,01-ai/Yi-6B,long_long,adaptive_io_aging,1982.02,1144.126,0.173724,1877.217,0.151361,1438.432,656.2073,1140.579,19,39809
,,,01-ai/Yi-6B,long_short,fcfs,253.55,136.539,0.082261,160.2342,1.183199,6381.511,304.5829,134.9248,0,39523
,,,01-ai/Yi-6B,long_short,sjf,252.07,134.9589,0.082278,158.2914,1.190146,6418.979,306.3712,133.353,0,39523
,,,01-ai/Yi-6B,long_short,ljf,253.02,136.1039,0.081081,159.5644,1.185677,6394.878,305.2209,134.5081,0,39523
,,,01-ai/Yi-6B,long_short,prompt_len_sjf,255.42,138.0545,0.084049,161.5461,1.174536,6334.79,302.353,136.4362,0,39523
,,,01-ai/Yi-6B,long_short,prefill_aging_fairness,247.79,130.7572,0.079288,154.2393,1.210703,6529.852,311.6631,129.171,0,39523
,,,01-ai/Yi-6B,long_short,vtc_fairness,246.92,130.6428,0.079277,153.4048,1.214968,6552.859,312.7612,129.0348,0,39523
,,,01-ai/Yi-6B,long_short,skip_join_mlfq,252.18,135.1693,0.081438,158.476,1.189626,6416.179,306.2376,133.5694,0,39523
,,,01-ai/Yi-6B,long_short,least_laxity_first,253.11,136.5122,0.080643,159.5842,1.185255,6392.604,305.1124,134.9188,0,39523
,,,01-ai/Yi-6B,long_short,hybrid,250.67,133.7537,0.079954,157.1297,1.196793,6454.829,308.0823,132.1544,0,39523
,,,01-ai/Yi-6B,long_short,adaptive_io_aging,251.32,135.0919,0.081776,157.2874,1.193697,6438.135,307.2855,133.5172,0,39523
,,,01-ai/Yi-6B,mixed,fcfs,946.47,101.7526,0.135265,865.659,0.316967,1537.806,697.4727,101.2583,0,39667
,,,01-ai/Yi-6B,mixed,sjf,928.01,96.39384,0.136214,846.6776,0.323272,1568.396,711.3469,95.8992,0,39667
,,,01-ai/Yi-6B,mixed,ljf,953.7,101.2596,0.14208,872.2431,0.314564,1526.148,692.1852,100.7638,0,39667
,,,01-ai/Yi-6B,mixed,prompt_len_sjf,892.87,103.631,0.142722,812.3161,0.335995,1630.122,739.3428,103.1345,0,39667
,,,01-ai/Yi-6B,mixed,prefill_aging_fairness,951.48,102.7824,0.142016,870.4106,0.315298,1529.708,693.8002,102.2852,0,39667
,,,01-ai/Yi-6B,mixed,vtc_fairness,931.22,89.62212,0.121153,850.1593,0.322158,1562.989,708.8948,89.14788,0,39667
,,,01-ai/Yi-6B,mixed,skip_join_mlfq,926.38,92.67209,0.130288,845.2623,0.323841,1571.155,712.5985,92.1926,0,39667
,,,01-ai/Yi-6B,mixed,least_laxity_first,929.46,97.65712,0.135576,848.737,0.322768,1565.949,710.2371,97.17497,0,39667
