category,launch_share_decode_only,launch_share_mixed_chunked,mem_throughput_decode_only,mem_throughput_mixed_chunked,sm_throughput_decode_only,sm_throughput_mixed_chunked,delta_launch_share,delta_sm_throughput,delta_mem_throughput
moe_expert_gemm,5.5,7.5,51.28545454545454,67.64450000000001,33.37,60.256,2.0,26.886000000000003,16.359045454545466
moe_routing,5.5,7.5,0.3295454545454545,0.4196666666666667,0.041590909090909,0.095,2.0,0.053409090909091,0.09012121212121221
