model,category,mem_throughput_decode_only,mem_throughput_mixed_chunked,sm_throughput_decode_only,sm_throughput_mixed_chunked,delta_sm_throughput,delta_mem_throughput
llama,gemm,68.25127118644068,38.83474576271186,76.27737288135593,77.3443220338983,1.0669491525423638,-29.416525423728814
mistral,gemm,65.46118644067796,40.882265625,72.17118644067797,77.033046875,4.8618604343220255,-24.57892081567796
mixtral,gemm,19.788656716417908,36.59569892473118,11.502686567164178,31.933225806451613,20.430539239287434,16.807042208313273
qwen,gemm,66.9303092783505,43.265773195876285,74.98051546391753,82.20845360824742,7.227938144329897,-23.66453608247422
yi,gemm,67.99728813559322,44.18440677966102,72.60237288135593,79.24440677966102,6.642033898305087,-23.812881355932205
