Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
ShareGPT,mixtral,256,227.63 s,300,Poisson 10 QPS
ShareGPT,mixtral,512,143.95 s,300,Poisson 10 QPS
ShareGPT,mixtral,1024,117.08 s,300,Poisson 10 QPS
ShareGPT,mixtral,2048,101.35 s,300,Poisson 10 QPS
ShareGPT,mixtral,3072,100.28 s,300,Poisson 10 QPS
ShareGPT,mixtral,4096,96.99 s,300,Poisson 10 QPS
ShareGPT,mixtral,128,365.33 s,300,Poisson 15 QPS
ShareGPT,mixtral,256,232.04 s,300,Poisson 15 QPS
ShareGPT,mixtral,512,158.83 s,300,Poisson 15 QPS
ShareGPT,mixtral,1024,119.64 s,300,Poisson 15 QPS
ShareGPT,mixtral,2048,98.03 s,300,Poisson 15 QPS
ShareGPT,mixtral,3072,94.44 s,300,Poisson 15 QPS
ShareGPT,mixtral,4096,97.34 s,300,Poisson 15 QPS
ShareGPT,mixtral,128,368.13 s,300,Poisson 20 QPS
ShareGPT,mixtral,256,223.91 s,300,Poisson 20 QPS
ShareGPT,mixtral,512,158.09 s,300,Poisson 20 QPS
ShareGPT,mixtral,1024,118.74 s,300,Poisson 20 QPS
ShareGPT,mixtral,2048,98.98 s,300,Poisson 20 QPS
ShareGPT,mixtral,3072,97.55 s,300,Poisson 20 QPS
ShareGPT,mixtral,4096,96.03 s,300,Poisson 20 QPS
ShareGPT,qwen,128,446.28 s,300,Poisson 1 QPS
ShareGPT,qwen,256,340.99 s,300,Poisson 1 QPS
ShareGPT,qwen,512,336.35 s,300,Poisson 1 QPS
ShareGPT,qwen,1024,338.84 s,300,Poisson 1 QPS
ShareGPT,qwen,2048,340.27 s,300,Poisson 1 QPS
ShareGPT,qwen,3072,341.71 s,300,Poisson 1 QPS
ShareGPT,qwen,4096,343.96 s,300,Poisson 1 QPS
ShareGPT,qwen,128,429.86 s,300,Poisson 5 QPS
ShareGPT,qwen,256,336.42 s,300,Poisson 5 QPS
ShareGPT,qwen,512,315.92 s,300,Poisson 5 QPS
ShareGPT,qwen,1024,327.90 s,300,Poisson 5 QPS
ShareGPT,qwen,2048,326.04 s,300,Poisson 5 QPS
ShareGPT,qwen,3072,319.28 s,300,Poisson 5 QPS
ShareGPT,qwen,4096,332.60 s,300,Poisson 5 QPS
ShareGPT,qwen,128,456.77 s,300,Poisson 10 QPS
ShareGPT,qwen,256,333.50 s,300,Poisson 10 QPS
ShareGPT,qwen,512,322.31 s,300,Poisson 10 QPS
ShareGPT,qwen,1024,322.50 s,300,Poisson 10 QPS
ShareGPT,qwen,2048,324.15 s,300,Poisson 10 QPS
ShareGPT,qwen,3072,330.84 s,300,Poisson 10 QPS
ShareGPT,qwen,4096,322.22 s,300,Poisson 10 QPS
ShareGPT,qwen,128,458.22 s,300,Poisson 15 QPS
ShareGPT,qwen,256,330.13 s,300,Poisson 15 QPS
ShareGPT,qwen,512,324.98 s,300,Poisson 15 QPS
ShareGPT,qwen,1024,321.83 s,300,Poisson 15 QPS
ShareGPT,qwen,2048,324.23 s,300,Poisson 15 QPS
ShareGPT,qwen,3072,330.29 s,300,Poisson 15 QPS
ShareGPT,qwen,4096,325.01 s,300,Poisson 15 QPS
ShareGPT,qwen,128,435.92 s,300,Poisson 20 QPS
ShareGPT,qwen,256,326.58 s,300,Poisson 20 QPS
ShareGPT,qwen,512,322.11 s,300,Poisson 20 QPS
ShareGPT,qwen,1024,326.67 s,300,Poisson 20 QPS
ShareGPT,qwen,2048,327.41 s,300,Poisson 20 QPS
ShareGPT,qwen,3072,323.84 s,300,Poisson 20 QPS
ShareGPT,qwen,4096,329.90 s,300,Poisson 20 QPS
ShareGPT,yi,128,404.83 s,300,Poisson 1 QPS
ShareGPT,yi,256,311.01 s,300,Poisson 1 QPS
ShareGPT,yi,512,311.84 s,300,Poisson 1 QPS
ShareGPT,yi,1024,312.05 s,300,Poisson 1 QPS
ShareGPT,yi,2048,312.42 s,300,Poisson 1 QPS
ShareGPT,yi,3072,314.06 s,300,Poisson 1 QPS
ShareGPT,yi,4096,313.15 s,300,Poisson 1 QPS
ShareGPT,yi,128,390.57 s,300,Poisson 5 QPS
ShareGPT,yi,256,234.07 s,300,Poisson 5 QPS
ShareGPT,yi,512,180.20 s,300,Poisson 5 QPS
ShareGPT,yi,1024,169.21 s,300,Poisson 5 QPS
ShareGPT,yi,2048,155.51 s,300,Poisson 5 QPS
ShareGPT,yi,3072,153.60 s,300,Poisson 5 QPS
ShareGPT,yi,4096,147.85 s,300,Poisson 5 QPS
ShareGPT,yi,128,399.27 s,300,Poisson 10 QPS
ShareGPT,yi,256,238.01 s,300,Poisson 10 QPS
ShareGPT,yi,512,182.73 s,300,Poisson 10 QPS
ShareGPT,yi,1024,161.61 s,300,Poisson 10 QPS
ShareGPT,yi,2048,147.68 s,300,Poisson 10 QPS
