Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
Arxiv,mixtral,1024,184.04 s,300,Poisson 10 QPS
Arxiv,mixtral,2048,114.35 s,300,Poisson 10 QPS
Arxiv,mixtral,3072,102.37 s,300,Poisson 10 QPS
Arxiv,mixtral,4096,100.83 s,300,Poisson 10 QPS
Arxiv,mixtral,128,1079.78 s,300,Poisson 15 QPS
Arxiv,mixtral,256,568.72 s,300,Poisson 15 QPS
Arxiv,mixtral,512,311.53 s,300,Poisson 15 QPS
Arxiv,mixtral,1024,184.24 s,300,Poisson 15 QPS
Arxiv,mixtral,2048,117.33 s,300,Poisson 15 QPS
Arxiv,mixtral,3072,102.05 s,300,Poisson 15 QPS
Arxiv,mixtral,4096,100.36 s,300,Poisson 15 QPS
Arxiv,mixtral,128,1053.96 s,300,Poisson 20 QPS
Arxiv,mixtral,256,564.66 s,300,Poisson 20 QPS
Arxiv,mixtral,512,298.19 s,300,Poisson 20 QPS
Arxiv,mixtral,1024,184.35 s,300,Poisson 20 QPS
Arxiv,mixtral,2048,118.93 s,300,Poisson 20 QPS
Arxiv,mixtral,3072,107.32 s,300,Poisson 20 QPS
Arxiv,mixtral,4096,101.04 s,300,Poisson 20 QPS
Arxiv,qwen,128,1240.58 s,300,Poisson 1 QPS
Arxiv,qwen,256,708.02 s,300,Poisson 1 QPS
Arxiv,qwen,512,597.47 s,300,Poisson 1 QPS
Arxiv,qwen,1024,599.85 s,300,Poisson 1 QPS
Arxiv,qwen,2048,610.03 s,300,Poisson 1 QPS
Arxiv,qwen,3072,616.93 s,300,Poisson 1 QPS
Arxiv,qwen,4096,623.25 s,300,Poisson 1 QPS
Arxiv,qwen,128,1236.88 s,300,Poisson 5 QPS
Arxiv,qwen,256,710.22 s,300,Poisson 5 QPS
Arxiv,qwen,512,596.25 s,300,Poisson 5 QPS
Arxiv,qwen,1024,604.52 s,300,Poisson 5 QPS
Arxiv,qwen,2048,610.65 s,300,Poisson 5 QPS
Arxiv,qwen,3072,619.13 s,300,Poisson 5 QPS
Arxiv,qwen,4096,611.71 s,300,Poisson 5 QPS
Arxiv,qwen,128,1192.05 s,300,Poisson 10 QPS
Arxiv,qwen,256,719.79 s,300,Poisson 10 QPS
Arxiv,qwen,512,590.68 s,300,Poisson 10 QPS
Arxiv,qwen,1024,605.05 s,300,Poisson 10 QPS
Arxiv,qwen,2048,595.55 s,300,Poisson 10 QPS
Arxiv,qwen,3072,611.19 s,300,Poisson 10 QPS
Arxiv,qwen,4096,618.39 s,300,Poisson 10 QPS
Arxiv,qwen,128,1223.86 s,300,Poisson 15 QPS
Arxiv,qwen,256,706.56 s,300,Poisson 15 QPS
Arxiv,qwen,512,596.56 s,300,Poisson 15 QPS
Arxiv,qwen,1024,603.76 s,300,Poisson 15 QPS
Arxiv,qwen,2048,610.97 s,300,Poisson 15 QPS
Arxiv,qwen,3072,619.98 s,300,Poisson 15 QPS
Arxiv,qwen,4096,621.54 s,300,Poisson 15 QPS
Arxiv,qwen,128,1215.07 s,300,Poisson 20 QPS
Arxiv,qwen,256,709.70 s,300,Poisson 20 QPS
Arxiv,qwen,512,597.72 s,300,Poisson 20 QPS
Arxiv,qwen,1024,606.29 s,300,Poisson 20 QPS
Arxiv,qwen,2048,608.41 s,300,Poisson 20 QPS
Arxiv,qwen,3072,618.34 s,300,Poisson 20 QPS
Arxiv,qwen,4096,617.04 s,300,Poisson 20 QPS
Arxiv,yi,128,1163.55 s,300,Poisson 1 QPS
Arxiv,yi,256,570.26 s,300,Poisson 1 QPS
Arxiv,yi,512,379.63 s,300,Poisson 1 QPS
Arxiv,yi,1024,334.21 s,300,Poisson 1 QPS
Arxiv,yi,2048,317.29 s,300,Poisson 1 QPS
Arxiv,yi,3072,308.44 s,300,Poisson 1 QPS
Arxiv,yi,4096,308.28 s,300,Poisson 1 QPS
Arxiv,yi,128,1107.40 s,300,Poisson 5 QPS
Arxiv,yi,256,563.47 s,300,Poisson 5 QPS
Arxiv,yi,512,381.99 s,300,Poisson 5 QPS
Arxiv,yi,1024,335.03 s,300,Poisson 5 QPS
Arxiv,yi,2048,309.50 s,300,Poisson 5 QPS
Arxiv,yi,3072,306.00 s,300,Poisson 5 QPS
Arxiv,yi,4096,298.54 s,300,Poisson 5 QPS
Arxiv,yi,128,1135.87 s,300,Poisson 10 QPS
Arxiv,yi,256,563.06 s,300,Poisson 10 QPS
Arxiv,yi,512,378.48 s,300,Poisson 10 QPS
Arxiv,yi,1024,336.52 s,300,Poisson 10 QPS
Arxiv,yi,2048,314.52 s,300,Poisson 10 QPS
Arxiv,yi,3072,300.36 s,300,Poisson 10 QPS
Arxiv,yi,4096,302.89 s,300,Poisson 10 QPS
Arxiv,yi,128,1151.72 s,300,Poisson 15 QPS
Arxiv,yi,256,566.38 s,300,Poisson 15 QPS
Arxiv,yi,512,384.21 s,300,Poisson 15 QPS
Arxiv,yi,1024,334.93 s,300,Poisson 15 QPS
Arxiv,yi,2048,313.87 s,300,Poisson 15 QPS
Arxiv,yi,3072,304.94 s,300,Poisson 15 QPS
Arxiv,yi,4096,302.73 s,300,Poisson 15 QPS
Arxiv,yi,128,1148.38 s,300,Poisson 20 QPS
Arxiv,yi,256,567.67 s,300,Poisson 20 QPS
Arxiv,yi,512,369.32 s,300,Poisson 20 QPS
Arxiv,yi,1024,337.16 s,300,Poisson 20 QPS
Arxiv,yi,2048,308.76 s,300,Poisson 20 QPS
Arxiv,yi,3072,306.51 s,300,Poisson 20 QPS
Arxiv,yi,4096,302.25 s,300,Poisson 20 QPS
