Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
sarathi,long input long output,llama2_7b,10,5.0,851.79,357.38798328577536,0.1550504957977473,818.2396227084099,0.011739982859625025,103.82723441223776,35.20468660115756,39371.0
sarathi,long input long output,llama2_7b,10,6.0,595.67,344.5907154370099,0.15380055594948655,580.9382078833878,0.016787818758708682,148.46979032014372,50.34163211173973,39371.0
sarathi,long input long output,llama2_7b,10,7.0,394.65,171.0236018373631,0.07417796546148936,380.19191719153895,0.02533890789306981,224.0947675155201,75.98378309894844,39371.0
sarathi,long input long output,llama2_7b,10,8.0,400.07,173.08797962712123,0.07507951140018948,385.3839768486563,0.02499562576549104,221.0588147074262,74.95438298297798,39371.0
sarathi,long input long output,llama2_7b,10,9.0,400.34,173.0833252021577,0.07508052205191344,385.7221795713529,0.024978768047159917,220.9097267322776,74.90383174301844,39371.0
sarathi,long input long output,llama2_7b,10,10.0,401.25,173.5638541784603,0.07528321440446482,386.664478645334,0.024922118380062305,220.40872274143302,74.73395638629283,39371.0
sarathi,long input long output,mistral_7b,1,1.0,94.83,1.0977566037327051,0.033204890544763783,93.80597010161728,0.010545186122535063,66.55066961931878,29.45270484024043,39409.0
sarathi,long input long output,mistral_7b,2,1.0,96.03,1.073712710570544,0.033826865351698925,92.55218640277164,0.02082682495053629,100.73935228574403,42.684577736124126,39409.0
sarathi,long input long output,mistral_7b,3,1.0,98.47,1.0582561329938471,0.03461187121866082,96.70437615690753,0.030466131816796995,147.49669950238652,67.50279272874987,39409.0
sarathi,long input long output,mistral_7b,4,1.0,146.98,2.3554424034897234,0.03736882929598037,139.30249232714993,0.027214587018641993,175.90148319499252,71.61518573955641,39409.0
sarathi,long input long output,mistral_7b,5,1.0,227.95,2.430179870128632,0.03916583234838991,210.39234008546916,0.021934634788330774,161.96534327703444,72.46325948672956,39409.0
sarathi,long input long output,mistral_7b,6,1.0,234.53,3.109880497679115,0.04156133747096477,213.3081006547436,0.025583081055728478,203.18082974459557,80.09636293864324,39409.0
sarathi,long input long output,mistral_7b,7,1.0,241.87,3.2843877035193145,0.04367884494660139,216.87327451584855,0.02894116674246496,241.04270889320708,88.24161739777567,39409.0
sarathi,long input long output,mistral_7b,8,1.0,243.51,3.2794041889719665,0.044583474338118906,214.90096592996267,0.032852860252145705,262.913227382859,96.14800213543592,39409.0
sarathi,long input long output,mistral_7b,9,1.0,251.58,3.4668871922418476,0.04758624839942386,219.276959297806,0.035773908895778674,297.2414341362588,103.00898322601161,39409.0
sarathi,long input long output,mistral_7b,10,1.0,259.51,4.481126039428636,0.05066433624995071,256.4925273808185,0.03853416053331278,668.6755809024701,218.1958306038303,39409.0
sarathi,long input long output,mistral_7b,10,2.0,257.66,4.074224770581349,0.050306641303154764,223.01815374284044,0.03881083598540712,336.7383373437863,109.88123884188464,39409.0
sarathi,long input long output,mistral_7b,10,3.0,258.7,4.084323361143469,0.05059668945106709,224.30616589346891,0.03865481252415926,335.3846153846154,109.4395052183997,39409.0
sarathi,long input long output,mistral_7b,10,4.0,257.54,4.074769603321328,0.05032747663158011,223.4367624833248,0.038828919779451736,336.89523957443504,109.93243767958374,39409.0
sarathi,long input long output,mistral_7b,10,5.0,258.98,4.093467900669201,0.05064407357075186,224.82050811690272,0.03861302031044868,335.0220094215769,109.3211831029423,39409.0
sarathi,long input long output,mistral_7b,10,6.0,259.17,4.091824747482313,0.050705296570323015,225.11499281488352,0.03858471273681367,334.7764015896901,109.24103870046687,39409.0
sarathi,long input long output,mistral_7b,10,7.0,257.39,4.0673169804271305,0.05033201289282368,223.57418594327748,0.038851548234197134,337.091573099188,109.99650336065893,39409.0
sarathi,long input long output,mistral_7b,10,8.0,258.75,4.08942771302536,0.050602076498078255,224.78261473458252,0.03864734299516908,335.31980676328504,109.4183574879227,39409.0
sarathi,long input long output,mistral_7b,10,9.0,251.74,3.99868069901131,0.0493537740920088,218.81157233980474,0.03972352427107333,344.65718598554065,112.46524191626281,39409.0
sarathi,long input long output,mistral_7b,10,10.0,258.8,4.093899455014616,0.05064435803572512,224.91027908325188,0.03863987635239567,335.2550231839258,109.39721792890262,39409.0
sarathi,long input long output,mixtral_7b_8expert,1,1.0,42.02,0.4686736799776554,0.014513985817934413,40.99239353835583,0.023798191337458353,150.19038553069964,66.46834840552117,39347.0
sarathi,long input long output,mixtral_7b_8expert,2,1.0,41.2,0.4530712957959622,0.014454602143006081,39.14564659963362,0.04854368932038835,234.80582524271844,99.49029126213591,39347.0
sarathi,long input long output,mixtral_7b_8expert,3,1.0,44.18,0.4711957726627588,0.015415463393655892,42.810740196797994,0.06790402897238569,328.7460389316433,150.45269352648256,39347.0
sarathi,long input long output,mixtral_7b_8expert,4,1.0,61.55,0.957033595908433,0.015482507307000862,57.41346944230608,0.06498781478472787,420.04874086108856,171.01543460601138,39347.0
sarathi,long input long output,mixtral_7b_8expert,5,1.0,95.48,1.0675295151770114,0.015706480323530676,86.36754029076546,0.05236698785085882,386.6778382907415,172.99958106409719,39347.0
sarathi,long input long output,mixtral_7b_8expert,6,1.0,96.43,1.1640131424646825,0.016163827861523775,85.94355690968223,0.06222130042517888,494.1615679767707,194.80452141449754,39347.0
sarathi,long input long output,mixtral_7b_8expert,7,1.0,95.17,1.1497045248746873,0.015943614839476615,83.32528223656115,0.07355259010192287,612.5985079331722,224.26184722076283,39347.0
sarathi,long input long output,mixtral_7b_8expert,8,1.0,101.83,1.195994759676978,0.017113440662357645,87.78912068996577,0.07856230973190612,628.7145242070117,229.92241971913975,39347.0
sarathi,long input long output,mixtral_7b_8expert,9,1.0,98.01,1.206760649010539,0.016646602378960276,82.87785503771156,0.09182736455463728,762.983369043975,264.411794714825,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,1.0,99.11500000000001,1.3923214710317553,0.01739746192970723,94.04910626513883,0.10089290218433132,1750.7743530242647,571.2959693285577,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,2.0,97.96,1.3466038911137725,0.016809561883746785,82.51637113713656,0.10208248264597795,885.7084524295632,289.01592486729277,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,3.0,99.55,1.368954872805625,0.017226624749033505,84.295661614323,0.10045203415369161,871.56202913109,284.3997990959317,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,4.0,99.97,1.3798860103823243,0.01725679870891515,84.8662413035519,0.10003000900270081,867.9003701110333,283.20496148844654,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,5.0,98.22,1.3515696523711083,0.01694178546824653,83.30439868965183,0.10181225819588678,883.3638770107921,288.25086540419466,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,6.0,100.09,1.3765043788123874,0.01717795343435979,85.01310588093472,0.09991008092716555,866.8598261564591,282.8654211209911,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,7.0,98.2,1.3575295883230862,0.016943601569235613,83.47851735525761,0.10183299389002036,883.5437881873727,288.30957230142565,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,8.0,100.44,1.3904996074736118,0.01731549453525793,85.50828384263437,0.09956192751891677,863.8391079251295,281.87972919155715,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,9.0,98.63,1.420908115711063,0.017292146626554265,84.1163629270624,0.10138902970698571,879.6917773496908,287.0526209064179,39347.0
sarathi,long input long output,mixtral_7b_8expert,10,10.0,97.88,1.3505607847589998,0.016845449077958607,83.31121787754816,0.1021659174499387,886.4323661626482,289.25214548426646,39347.0
sarathi,long input long output,qwen_7b,1,1.0,99.26,1.1694560265168548,0.03476644351005682,98.23755241930483,0.01007455168245013,63.58049566794277,28.138222849083213,39359.0
sarathi,long input long output,qwen_7b,2,1.0,103.05,1.1470280329231173,0.036920683525275604,99.4289771582,0.01940805434255216,93.8767588549248,39.77680737506065,39359.0
sarathi,long input long output,qwen_7b,3,1.0,108.64,1.111307820584625,0.03850182690075742,106.84458805853501,0.027614138438880706,133.68924889543447,61.18372606774668,39359.0
sarathi,long input long output,qwen_7b,4,1.0,181.92,2.833516141120344,0.04764096398540457,173.3333048339002,0.02198768689533861,142.1174142480211,57.86059806508356,39359.0
sarathi,long input long output,qwen_7b,5,1.0,287.75,2.9124940497800704,0.05321882257615361,268.57768559809773,0.01737619461337967,128.30582102519548,57.40399652476108,39359.0
sarathi,long input long output,qwen_7b,6,1.0,316.54,4.207683928543702,0.06375248859201048,292.81165972724557,0.018954950401213116,150.54021608643455,59.34479054779806,39359.0
sarathi,long input long output,qwen_7b,7,1.0,360.96,118.43440764071408,0.07094900446099915,344.98031549993897,0.019392730496453903,166.6971409574468,64.30906471631207,39359.0
sarathi,long input long output,qwen_7b,8,1.0,376.22,170.56316064074636,0.0726688706200863,357.9802776695229,0.021264153952474614,176.96826325022593,69.02875976822072,39359.0
sarathi,long input long output,qwen_7b,9,1.0,404.34,171.21670512575656,0.07314624184419015,387.5939950605854,0.02225849532571598,191.4774694563981,70.62620566849681,39359.0
sarathi,long input long output,qwen_7b,10,1.0,462.5,170.94912449358964,0.07285818916288042,454.4956958041992,0.021621621621621623,388.0345945945946,135.26918918918918,39359.0
sarathi,long input long output,qwen_7b,10,2.0,462.39,170.54019887284375,0.07286554288846951,441.33817791119213,0.021626765284716364,194.06345292934537,67.65068448712127,39359.0
sarathi,long input long output,qwen_7b,10,3.0,463.85,171.0018271365203,0.07309090728741353,443.5744837252423,0.021558693543171283,193.45262477093888,67.43774927239409,39359.0
sarathi,long input long output,qwen_7b,10,4.0,462.12,170.58030752954073,0.07288558575672074,442.35343340844844,0.021639401021379727,194.17683718514672,67.69021033497793,39359.0
sarathi,long input long output,qwen_7b,10,5.0,463.45,171.07435914133674,0.07311254485031371,443.9060266252141,0.021577300679684972,193.61959218901717,67.49595425612256,39359.0
sarathi,long input long output,qwen_7b,10,6.0,461.75,170.33860282683744,0.07279986162095756,442.4353217104915,0.02165674066053059,194.33243096913915,67.74445046020574,39359.0
sarathi,long input long output,qwen_7b,10,7.0,461.69,170.40156020210125,0.07282129156557965,442.50776029634284,0.021659555112737986,194.35768589313176,67.75325434815569,39359.0
sarathi,long input long output,qwen_7b,10,8.0,461.67,170.4509055817034,0.0728324392388047,442.5792954285629,0.021660493426040244,194.36610565988693,67.75618948599649,39359.0
sarathi,long input long output,qwen_7b,10,9.0,459.2,169.57700149635784,0.07246063663441732,440.3465139384847,0.02177700348432056,195.41158536585365,68.12064459930313,39359.0
sarathi,long input long output,qwen_7b,10,10.0,459.92,169.9251755669713,0.0725995007461019,441.0678062636405,0.021742911810749693,195.10567055140024,68.01400243520612,39359.0
sarathi,long input long output,yi_6b,1,1.0,75.41,0.9793062387034296,0.026291341828062254,74.38528060354292,0.013260840737302746,83.68916589311763,37.03752817928657,39359.0
sarathi,long input long output,yi_6b,2,1.0,76.99,0.9741122284904123,0.026971496954909257,74.00207402510568,0.025977399662293805,125.65268216651513,53.240680607871155,39359.0
sarathi,long input long output,yi_6b,3,1.0,78.61,0.9502534342929719,0.02751648522390858,76.99057706622406,0.038163083577153034,184.7602086248569,84.55667217911207,39359.0
sarathi,long input long output,yi_6b,4,1.0,114.85,2.106293784640729,0.02889003663279285,108.45077621596866,0.0348280365694384,225.1110143665651,91.64997823247715,39359.0
sarathi,long input long output,yi_6b,5,1.0,179.34,2.1768841261044143,0.030355490451523744,164.78382469210774,0.027880004460800713,205.86595293855245,92.10438273670124,39359.0
sarathi,long input long output,yi_6b,6,1.0,183.8,2.6003561369143426,0.03205051545334001,166.31659347913228,0.032644178454842215,259.2600652883569,102.20348204570185,39359.0
sarathi,long input long output,yi_6b,7,1.0,185.3,2.774100279249251,0.032980464178513365,165.07281314237042,0.03777657852131678,314.6303291958985,115.18078791149486,39359.0
sarathi,long input long output,yi_6b,8,1.0,182.43,2.7167868906166404,0.033096791986607824,159.86845716889945,0.04385243655100586,350.9400866085622,128.33963712108755,39359.0
sarathi,long input long output,yi_6b,9,1.0,193.59,2.951690780557692,0.03591361659917336,167.38719814922658,0.046490004649000466,386.28028307247274,133.8653856087608,39359.0
sarathi,long input long output,yi_6b,10,1.0,197.09500000000003,3.6664542735088617,0.03722362440429143,193.01815599757242,0.05073695426063573,880.4282198939596,287.29292980542374,39359.0
