Scheduler,Input Output data Type,Model Name,Number of Requests,QPS,Request No,Prefill Token Count,Decode Token Count,Prefill Time,Decode Time,Request Execution Time,Request End-to-End time,Scheduling Delay
sarathi,long input long output,llama2_7b,6,1.0,2,2302,2548,0.8403787324205041,156.65077735297382,157.49115608539432,158.87971770577133,1.388561620377004
sarathi,long input long output,llama2_7b,6,1.0,3,7451,3879,3.005841908045113,218.53104509133848,221.5368869993836,223.4666037922725,1.9297167928889396
sarathi,long input long output,llama2_7b,6,1.0,4,5074,5992,2.320928066968918,296.7890550810844,299.1099831480533,302.6580441631377,3.548061015084386
sarathi,long input long output,llama2_7b,6,1.0,5,8465,2267,4.44753429107368,140.965683683753,145.4132179748267,150.09546203911304,4.682244064286351
sarathi,long input long output,llama2_7b,7,1.0,0,3518,2793,1.1099499529227614,193.2514329487458,194.36138290166852,194.3616441562772,0.0002612546086311
sarathi,long input long output,llama2_7b,7,1.0,1,2057,1306,0.7111173942685127,88.11412794422358,88.8252453384921,89.8700010785833,1.0447557400912046
sarathi,long input long output,llama2_7b,7,1.0,2,2302,2548,0.842364888638258,178.95926446653905,179.80162935517728,181.1921642888337,1.390534933656454
sarathi,long input long output,llama2_7b,7,1.0,3,7451,3879,3.014859760180116,243.8239754224196,246.83883518259967,248.77282292116436,1.9339877385646105
sarathi,long input long output,llama2_7b,7,1.0,4,5074,5992,2.328469726257026,322.6067724255845,324.9352421518415,328.49689190555364,3.5616497537121177
sarathi,long input long output,llama2_7b,7,1.0,5,8465,2267,4.464134152978659,161.9913858314976,166.45551998447627,171.15869916323572,4.703179178759456
sarathi,long input long output,llama2_7b,7,1.0,6,8091,2558,4.807884847745299,179.3741814987734,184.1820663465187,191.0549457576126,6.872879411093891
sarathi,long input long output,llama2_7b,8,1.0,0,3518,2793,1.1182779958471656,203.1263260617852,204.2446040576324,204.24491653498265,0.0003124773502349
sarathi,long input long output,llama2_7b,8,1.0,1,2057,1306,0.7130360091105103,93.06573702022432,93.77877302933484,94.83184425532818,1.0530712259933352
sarathi,long input long output,llama2_7b,8,1.0,2,2302,2548,0.8454052461311221,187.47634664922955,188.32175189536065,189.72245070990172,1.4006988145411017
