Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
sarathi,long input long output,qwen_7b,6,1.0,277.72,3.8510390355368145,0.04762277608776714,252.05097838537768,0.021604493734696816,171.5828892409621,67.64006913437994,39701.0
sarathi,long input long output,qwen_7b,7,1.0,286.53,4.035780806234106,0.04949017091493063,256.0066220746142,0.024430251631591807,203.47258576763343,74.48783722472342,39701.0
sarathi,long input long output,qwen_7b,8,1.0,288.44,3.7339355877018527,0.05048578482990258,253.0628640897688,0.02773540424351685,221.95950630980445,81.1711274441825,39701.0
sarathi,long input long output,qwen_7b,9,1.0,301.24,4.290336110955104,0.05626972634975566,261.26669356068595,0.029876510423582525,248.2406054972779,86.02775195857123,39701.0
sarathi,long input long output,qwen_7b,10,1.0,311.485,5.3889592187362725,0.05979348317147838,307.1214837470674,0.0321042746841742,557.099057739538,181.78724497166797,39701.0
sarathi,long input long output,qwen_7b,10,2.0,314.04,4.9984574909671196,0.05959115749222385,270.3553685033576,0.03184307731499172,276.2832760157942,90.15412049420455,39701.0
sarathi,long input long output,qwen_7b,10,3.0,312.94,4.97041495424928,0.05975904630555476,269.6939376435125,0.03195500734965169,277.25442576851793,90.47101680833387,39701.0
sarathi,long input long output,qwen_7b,10,4.0,313.12,4.982064873049966,0.05920649070774733,270.08225817430053,0.031936637710781805,277.0950434338273,90.41900868676545,39701.0
sarathi,long input long output,qwen_7b,10,5.0,312.7,5.038080320355947,0.05972110225033862,270.0351527291931,0.03197953309881676,277.4672209785737,90.54045410937,39701.0
sarathi,long input long output,qwen_7b,10,6.0,311.36,4.936572542332577,0.059345763325891865,268.409446281474,0.03211716341212744,278.6613566289825,90.93011305241521,39701.0
sarathi,long input long output,qwen_7b,10,7.0,312.17,4.924010523757897,0.059059274374819885,269.42638857847766,0.03203382772207451,277.9383028478073,90.69417304673735,39701.0
sarathi,long input long output,qwen_7b,10,8.0,314.48,5.007684825430623,0.05986821081449164,271.37026091314607,0.03179852454846095,275.89671839226656,90.02798270160264,39701.0
sarathi,long input long output,qwen_7b,10,9.0,311.08,4.896239731786771,0.05942734125167397,269.1140423736767,0.032146071750032146,278.91217693197893,91.01195833869102,39701.0
sarathi,long input long output,qwen_7b,10,10.0,316.29,5.022458531544543,0.060473779743717676,273.4367167578427,0.031616554427898444,274.3178728382181,89.51278889626607,39701.0
