Scheduler,Input Output data Type,Model Name,Number of Requests,QPS,Request No,Prefill Token Count,Decode Token Count,Prefill Time,Decode Time,Request Execution Time,Request End-to-End time,Scheduling Delay
sarathi,long input long output,llama2_7b,1,1.0,0,3518,2793,1.4295015879906714,122.16612395388074,123.5956255418714,123.59597334451972,0.0003478026483207
sarathi,long input long output,llama2_7b,2,1.0,0,3518,2793,1.448142875218764,124.05626195995136,125.50440483517012,125.5046297458466,0.0002249106764793
sarathi,long input long output,llama2_7b,2,1.0,1,2057,1306,0.8985101450234652,58.58127630199306,59.47978644701652,60.84529340779409,1.3655069607775658
sarathi,long input long output,llama2_7b,3,1.0,0,3518,2793,1.4738910337910056,125.19770164904185,126.67159268283284,126.67199262860233,0.000399945769459
sarathi,long input long output,llama2_7b,3,1.0,1,2057,1306,0.914856530027464,58.86342844879255,59.77828497882001,61.17055744258687,1.392272463766858
sarathi,long input long output,llama2_7b,3,1.0,2,2302,2548,1.0539009070489556,114.20844385609962,115.26234476314858,117.19176401663572,1.92941925348714
sarathi,long input long output,llama2_7b,4,1.0,0,3518,2793,1.4813637528568506,126.79748328612186,128.2788470389787,128.2794699827209,0.0006229437422007
sarathi,long input long output,llama2_7b,4,1.0,1,2057,1306,0.9259946560487152,59.966103098820895,60.89209775486961,62.29194463859312,1.3998468837235123
sarathi,long input long output,llama2_7b,4,1.0,2,2302,2548,1.0387326839845628,115.50819047400728,116.54692315799184,118.4967536185868,1.949830460594967
sarathi,long input long output,llama2_7b,4,1.0,3,7451,3879,3.300907486816868,172.83914409810677,176.14005158492364,178.82105132285506,2.6809997379314154
sarathi,long input long output,llama2_7b,5,1.0,0,3518,2793,1.4283015220426023,126.14457302098162,127.57287454302424,127.57327269064264,0.000398147618398
sarathi,long input long output,llama2_7b,5,1.0,1,2057,1306,0.9189371610991656,60.26682866201736,61.185765823116526,62.53307293378748,1.347307110670954
sarathi,long input long output,llama2_7b,5,1.0,2,2302,2548,1.016675049904734,115.19506978988647,116.2117448397912,118.10156671050936,1.8898218707181516
sarathi,long input long output,llama2_7b,5,1.0,3,7451,3879,3.220981308957562,173.68559112097137,176.90657242992893,179.50435319379903,2.597780763870105
sarathi,long input long output,llama2_7b,5,1.0,4,5074,5992,2.593996860086918,265.22544707893394,267.81944393902086,272.24704458308406,4.4276006440632045
sarathi,long input long output,llama2_7b,6,1.0,0,3518,2793,1.4581020378973335,131.69640933792107,133.1545113758184,133.15510677965358,0.0005954038351774
sarathi,long input long output,llama2_7b,6,1.0,1,2057,1306,0.9047314398922026,62.54013096005656,63.44486239994876,64.81987678376026,1.3750143838115036
sarathi,long input long output,llama2_7b,6,1.0,2,2302,2548,1.3490105629898608,119.9916107468307,121.34062130982056,123.24081956455484,1.9001982547342775
sarathi,long input long output,llama2_7b,6,1.0,3,7451,3879,3.319872953929007,174.20314033492468,177.5230132888537,180.46275003487244,2.9397367460187525
sarathi,long input long output,llama2_7b,6,1.0,4,5074,5992,2.3339358989614998,266.551940002013,268.8858759009745,273.7571260361001,4.871250135125592
sarathi,long input long output,llama2_7b,6,1.0,5,8465,2267,4.051271795993671,105.37918643583544,109.4304582318291,115.45086707430892,6.02040884247981
sarathi,long input long output,llama2_7b,7,1.0,0,3518,2793,1.4552659208420664,136.1951227199752,137.65038864081723,137.65059768455103,0.0002090437337756
sarathi,long input long output,llama2_7b,7,1.0,1,2057,1306,0.915840929141268,65.29723417200148,66.21307510114275,67.58679038472474,1.373715283581987
sarathi,long input long output,llama2_7b,7,1.0,2,2302,2548,1.0423252619802952,124.69603634392844,125.73836160590872,127.65118903154509,1.912827425636351
sarathi,long input long output,llama2_7b,7,1.0,3,7451,3879,3.322878921870142,183.2724111820571,186.59529010392723,189.23969505890275,2.644404954975471
sarathi,long input long output,llama2_7b,7,1.0,4,5074,5992,2.3483157658483838,275.2057038920466,277.55401965789497,282.13037148001604,4.576351822121069
sarathi,long input long output,llama2_7b,7,1.0,5,8465,2267,4.029129480011761,109.86551538808273,113.89464486809447,119.63034238829276,5.7356975201983005
sarathi,long input long output,llama2_7b,7,1.0,6,8091,2558,3.931606187019497,122.50089600519276,126.43250219221228,133.90617334493436,7.47367115272209
sarathi,long input long output,llama2_7b,8,1.0,0,3518,2793,1.4505252889357507,139.44646935816854,140.8969946471043,140.8971841088496,0.0001894617453217
sarathi,long input long output,llama2_7b,8,1.0,1,2057,1306,0.9088763629551976,66.39781593205407,67.30669229500927,68.67616025381722,1.3694679588079453
sarathi,long input long output,llama2_7b,8,1.0,2,2302,2548,1.0102200859691948,127.83623199304566,128.84645207901485,130.74756475980394,1.9011126807890832
sarathi,long input long output,llama2_7b,8,1.0,3,7451,3879,3.283909593941644,186.40153931290843,189.68544890685007,192.28856203891337,2.6031131320632994
sarathi,long input long output,llama2_7b,8,1.0,4,5074,5992,2.3358213510364294,277.4860976098571,279.8219189608935,284.31819850811735,4.496279547223821
sarathi,long input long output,llama2_7b,8,1.0,5,8465,2267,3.9101343939546496,113.21859874995424,117.1287331439089,122.77039861632512,5.641665472416207
sarathi,long input long output,llama2_7b,8,1.0,6,8091,2558,3.995119387982413,125.9949662850704,129.99008567305282,137.2547294269316,7.264643753878772
sarathi,long input long output,llama2_7b,8,1.0,7,3651,2070,1.8911012010648849,102.39677161094733,104.2878728120122,115.39317140821368,11.105298596201465
sarathi,long input long output,llama2_7b,9,1.0,0,3518,2793,1.4953253571875391,152.2238722878974,153.71919764508493,153.71940036164597,0.0002027165610343
sarathi,long input long output,llama2_7b,9,1.0,1,2057,1306,0.9383360508363694,75.202023511054,76.14035956189036,77.55457024066709,1.414210678776726
sarathi,long input long output,llama2_7b,9,1.0,2,2302,2548,1.0685536740347743,139.94508494297042,141.0136386170052,142.9789190464653,1.9652804294601085
sarathi,long input long output,llama2_7b,9,1.0,3,7451,3879,3.395095861051232,200.1877571800724,203.5828530411236,206.3054057639092,2.722552722785622
sarathi,long input long output,llama2_7b,9,1.0,4,5074,5992,2.394564450951293,293.1276560621336,295.5222205130849,300.2488112400752,4.726590726990253
sarathi,long input long output,llama2_7b,9,1.0,5,8465,2267,4.109055093955249,124.78519851109012,128.89425360504538,134.82705581141636,5.93280220637098
sarathi,long input long output,llama2_7b,9,1.0,6,8091,2558,4.049980160081759,138.3649455178529,142.41492567793466,150.1695603367407,7.754634658806026
sarathi,long input long output,llama2_7b,9,1.0,7,3651,2070,1.9326229160651565,113.65809926413932,115.59072218020448,127.24247185117564,11.651749670971183
sarathi,long input long output,llama2_7b,9,1.0,8,8256,2502,4.491437403019518,134.08037490700372,138.57181231002323,151.547339979792,12.97552766976878
sarathi,long input long output,llama2_7b,10,1.0,0,3518,2793,1.4502965521533042,161.19498357805423,162.64528013020754,162.64547451678663,0.0001943865790963
sarathi,long input long output,llama2_7b,10,1.0,0,3518,2793,1.4837185819633305,164.3080548979342,165.79177347989753,165.7919536277186,0.0001801478210836
sarathi,long input long output,llama2_7b,10,1.0,1,2057,1306,0.9331246688961984,75.63284909795038,76.56597376684658,77.93244496663101,1.366471199784428
sarathi,long input long output,llama2_7b,10,1.0,1,2057,1306,0.9338246970437468,77.65091183385812,78.58473653090186,79.98713421775028,1.402397686848417
sarathi,long input long output,llama2_7b,10,1.0,2,2302,2548,1.0275217469315976,148.48702650307678,149.51454825000835,151.4346004675608,1.9200522175524384
sarathi,long input long output,llama2_7b,10,1.0,2,2302,2548,1.0519022059161216,151.5647251070477,152.61662731296383,154.57379838172346,1.957171068759635
sarathi,long input long output,llama2_7b,10,1.0,3,7451,3879,3.3257948390673846,209.60749420989305,212.93328904896043,215.57176407589577,2.638475026935339
sarathi,long input long output,llama2_7b,10,1.0,3,7451,3879,3.396290329983458,212.03065770305693,215.4269480330404,218.1254242779687,2.6984762449283157
sarathi,long input long output,llama2_7b,10,1.0,4,5074,5992,2.3282026569359004,300.8351739819627,303.1633766388986,307.73760340199806,4.574226763099432
sarathi,long input long output,llama2_7b,10,1.0,4,5074,5992,2.3748281851876527,304.6922068030108,307.06703498819843,311.7712203322444,4.704185344045982
sarathi,long input long output,llama2_7b,10,1.0,5,8465,2267,4.012817320181057,133.10020623193122,137.11302355211228,142.82825434138067,5.715230789268389
sarathi,long input long output,llama2_7b,10,1.0,5,8465,2267,4.117702575866133,136.05873324000277,140.1764358158689,146.06696143839508,5.890525622526184
sarathi,long input long output,llama2_7b,10,1.0,6,8091,2558,3.979565294925124,147.66149138798937,151.6410566829145,159.08100331085734,7.439946627942845
sarathi,long input long output,llama2_7b,10,1.0,6,8091,2558,4.0530993670690805,150.4786709640175,154.5317703310866,162.25033199903555,7.718561667948961
