Request Id,request_e2e_time,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored,total_preemptions,num_pauses,num_restarts,prefill_preemptions,decode_preemptions,total_preemption_time_sec,total_preempted_time,execution_time,execution_time_with_preemptions,scheduling_delay,prefill_exec_with_preemption,decode_exec_with_preemption,ete_time,run_name,run_dir,scheduler,scheduler_family,request_type,sweep_type,model,model_full,num_requests,qps,tensor_parallel_degree,gpu_memory_utilization_target,max_model_len,ttft_exec_sec,ttft_user_sec,tpot_sec,tpot_including_first_output_sec,e2e_sec,scheduling_delay_sec,prefill_tokens,decode_tokens
0_0,123.59597334451972,0.0442520491745505,0.0445997272963234,121.9723212486133,0.0436707201033345,1.6233042932581156,0.0003478026483207,123.5956255418714,0.0442519246480026,1.4298493906389922,0.0004064381440133,0.000754141928591,1.4295015879906714,0.0004063392802702,0.0437401088270249,,6311,3518,2793,1.2595775152166129,0,2821,0,2820,2821,0,28,2792,1.6527017992921174,1.6233042932581156,121.9723212486133,123.5956255418714,0.0003478026483207,1.4295015879906714,122.16612395388074,123.59597334451972,custom_sarathi_long_input_long_output_fixed_qps_num_requests_1_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_1_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,1,1.0,2,0.85,20480,1.4295015879906714,1.4298493906389922,0.04375577505511488,0.04374010882702497,123.59597334451972,0.0003478026483207,3518,2793
0_0,125.5046297458466,0.044935420603597,0.0451602507535184,123.60033018118702,0.0442536090874282,1.904074653983116,0.0002249106764793,125.50440483517012,0.044935340077039,1.4483677858952433,0.000411702042608,0.0006365487876842,1.448142875218764,0.0004116381112048,0.0444168499677591,,6311,3518,2793,1.2595775152166129,0,2821,0,2820,2821,0,28,2792,1.9340995200909676,1.904074653983116,123.60033018118702,125.50440483517012,0.0002249106764793,1.448142875218764,124.05626195995136,125.5046297458466,custom_sarathi_long_input_long_output_fixed_qps_num_requests_2_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_2_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,2,1.0,2,0.85,20480,1.448142875218764,1.4483677858952433,0.04443275858164447,0.044416849967759166,125.5046297458466,0.0002249106764793,3518,2793
0_1,60.84529340779409,0.0465890454883568,1.4110504419774252,58.82262318325229,0.0450402934021839,0.6571632637642324,1.3655069607775658,59.47978644701652,0.0455434811998595,2.264017105801031,0.0011006403042299,1.3659437668762646,0.8985101450234652,0.0004368060986988,0.0448554948713576,0.0253288389649242,3363,2057,1306,1.5750382848392035,0,1323,0,1322,1323,0,17,1305,0.6662409328855574,0.6571632637642324,58.82262318325229,59.47978644701652,1.3655069607775658,0.8985101450234652,58.58127630199306,60.84529340779409,custom_sarathi_long_input_long_output_fixed_qps_num_requests_2_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_2_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,2,1.0,2,0.85,20480,0.8985101450234652,2.264017105801031,0.04488986689807897,0.04485549487135762,60.84529340779409,1.3655069607775658,2057,1306
0_0,126.67199262860233,0.0453533808194064,0.0457531833931012,124.03047215915284,0.0444076162402981,2.641120523680001,0.000399945769459,126.67159268283284,0.0453532376236422,1.4742909795604646,0.0004190707730416,0.0008189028569493,1.4738910337910056,0.0004189570874903,0.0448255286963987,,6311,3518,2793,1.2595775152166129,0,2821,0,2820,2821,0,28,2792,2.679877719841897,2.641120523680001,124.03047215915284,126.67159268283284,0.000399945769459,1.4738910337910056,125.19770164904185,126.67199262860233,custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,3,1.0,2,0.85,20480,1.4738910337910056,1.4742909795604646,0.044841583685186905,0.044825528696398796,126.67199262860233,0.000399945769459,3518,2793
0_1,61.17055744258687,0.0468380991137724,1.43804450433257,58.8405896446202,0.0450540502638745,0.937695334199816,1.392272463766858,59.77828497882001,0.0457720405657121,2.307128993794322,0.0011215989274644,1.3927172165767887,0.914856530027464,0.0004447528099307,0.0450715378627814,0.0253288389649242,3363,2057,1306,1.5750382848392035,0,1323,0,1322,1323,0,17,1305,0.9472586289048196,0.937695334199816,58.8405896446202,59.77828497882001,1.392272463766858,0.914856530027464,58.86342844879255,61.17055744258687,custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,3,1.0,2,0.85,20480,0.914856530027464,2.307128993794322,0.045106075439687775,0.04507153786278143,61.17055744258687,1.392272463766858,2057,1306
0_2,117.19176401663572,0.045993627950014,1.974655652530762,113.81149822985752,0.0446669930258467,1.450846533291042,1.92941925348714,115.26234476314858,0.0452363990436218,2.9833201605360955,0.0012959687925873,1.9298770731687425,1.0539009070489556,0.0004578196816025,0.0448227801633044,0.3216240641195327,4850,2302,2548,0.9034536891679747,0,2567,0,2566,2567,0,19,2547,1.467288007028401,1.450846533291042,113.81149822985752,115.26234476314858,1.92941925348714,1.0539009070489556,114.20844385609962,117.19176401663572,custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,3,1.0,2,0.85,20480,1.0539009070489556,2.9833201605360955,0.04484037842799357,0.044822780163304404,117.19176401663572,1.92941925348714,2302,2548
0_0,128.2794699827209,0.0459289187191983,0.0465516394238973,124.79989823652431,0.0446830999772732,3.478948802454397,0.0006229437422007,128.2788470389787,0.0459286956816966,1.4819866965990514,0.0004212582992038,0.0010440249681407,1.4813637528568506,0.0004210812259399,0.0453983112374227,,6311,3518,2793,1.2595775152166129,0,2821,0,2820,2821,0,28,2792,3.51220106636174,3.478948802454397,124.79989823652431,128.2788470389787,0.0006229437422007,1.4813637528568506,126.79748328612186,128.2794699827209,custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,4,1.0,2,0.85,20480,1.4813637528568506,1.4819866965990514,0.04541457137755081,0.04539831123742279,128.2794699827209,0.0006229437422007,3518,2793
0_1,62.29194463859312,0.0476967416834556,1.4464717671499057,59.514804266626015,0.0455702942317197,1.3772934882435948,1.3998468837235123,60.89209775486961,0.0466248834263932,2.3258415397722274,0.0011306959357181,1.400297051276283,0.9259946560487152,0.0004501675527704,0.0459158522961875,0.0253288389649242,3363,2057,1306,1.5750382848392035,0,1323,0,1322,1323,0,17,1305,1.3867513821460309,1.3772934882435948,59.514804266626015,60.89209775486961,1.3998468837235123,0.9259946560487152,59.966103098820895,62.29194463859312,custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,4,1.0,2,0.85,20480,0.9259946560487152,2.3258415397722274,0.04595103685733402,0.04591585229618751,62.29194463859312,1.3998468837235123,2057,1306
0_2,118.4967536185868,0.0465057902741706,1.9955710112849168,114.32999915839171,0.0448704863258994,2.2169239996001124,1.949830460594967,116.54692315799184,0.0457405506899497,2.9885631445795298,0.0012982463703646,1.950281691126672,1.0387326839845628,0.0004512305317048,0.0453328848014157,0.3216240641195327,4850,2302,2548,0.9034536891679747,0,2567,0,2566,2567,0,19,2547,2.2322334095370024,2.2169239996001124,114.32999915839171,116.54692315799184,1.949830460594967,1.0387326839845628,115.50819047400728,118.4967536185868,custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,4,1.0,2,0.85,20480,1.0387326839845628,2.9885631445795298,0.04535068334275904,0.04533288480141573,118.4967536185868,1.949830460594967,2302,2548
0_3,178.82105132285506,0.0460997812123885,2.7264083616965413,173.3096181866713,0.0446789425590799,2.830433398252353,2.6809997379314154,176.14005158492364,0.0454086237651259,5.981907224748284,0.0008028328042877,2.681442753296711,3.300907486816868,0.0004430153652955,0.0445576550910303,0.2525861856993288,11330,7451,3879,1.9208558906934776,0,3940,0,3939,3940,0,61,3878,2.8571242401376367,2.830433398252353,173.3096181866713,176.14005158492364,2.6809997379314154,3.300907486816868,172.83914409810677,178.82105132285506,custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,4,1.0,2,0.85,20480,3.300907486816868,5.981907224748284,0.04456914494536018,0.04455765509103036,178.82105132285506,2.6809997379314154,7451,3879
