"TP-2, PP-1, Dataset- Arxiv, 300 Requests",model,qps,chunk_size,dynamic_chunking,total_time_sec,,,,model,qps,chunk_size,dynamic_chunking,total_time_sec,,,VLLM,model,qps,total_time_sec
mistral,128,1151.73 s,300,15,,,,,,,,,,,,,,,
mistral,256,595.99 s,300,15,,,,,,,,,,,,,,,
mistral,512,422.77 s,300,15,,,,,,,,,,,,,,,
mistral,1024,380.78 s,300,15,,,,,,,,,,,,,,,
mistral,2048,363.05 s,300,15,,,,,,,,,,,,,,,
mistral,3072,364.75 s,300,15,,,,,,,,,,,,,,,
mistral,4096,362.32 s,300,15,,,,,,,,,,,,,,,
mistral,128,1150.05 s,300,20,,,,,,,,,,,,,,,
mistral,256,590.93 s,300,20,,,,,,,,,,,,,,,
mistral,512,421.99 s,300,20,,,,,,,,,,,,,,,
mistral,1024,374.49 s,300,20,,,,,,,,,,,,,,,
mistral,2048,358.84 s,300,20,,,,,,,,,,,,,,,
mistral,3072,360.79 s,300,20,,,,,,,,,,,,,,,
mistral,4096,359.76 s,300,20,,,,,,,,,,,,,,,
mixtral,128,1069.40 s,300,1,,,,,,,,,,,,,,,
mixtral,256,567.43 s,300,1,,,,,,,,,,,,,,,
mixtral,512,314.49 s,300,1,,,,,,,,,,,,,,,
mixtral,1024,293.58 s,300,1,,,,,,,,,,,,,,,
mixtral,2048,291.04 s,300,1,,,,,,,,,,,,,,,
mixtral,3072,291.60 s,300,1,,,,,,,,,,,,,,,
mixtral,4096,291.12 s,300,1,,,,,,,,,,,,,,,
mixtral,128,1057.96 s,300,5,,,,,,,,,,,,,,,
mixtral,256,570.66 s,300,5,,,,,,,,,,,,,,,
mixtral,512,301.34 s,300,5,,,,,,,,,,,,,,,
mixtral,1024,177.92 s,300,5,,,,,,,,,,,,,,,
mixtral,2048,109.74 s,300,5,,,,,,,,,,,,,,,
mixtral,3072,106.81 s,300,5,,,,,,,,,,,,,,,
mixtral,4096,102.39 s,300,5,,,,,,,,,,,,,,,
mixtral,128,1041.21 s,300,10,,,,,,,,,,,,,,,
mixtral,256,565.73 s,300,10,,,,,,,,,,,,,,,
mixtral,512,290.09 s,300,10,,,,,,,,,,,,,,,
mixtral,1024,184.04 s,300,10,,,,,,,,,,,,,,,
mixtral,2048,114.35 s,300,10,,,,,,,,,,,,,,,
mixtral,3072,102.37 s,300,10,,,,,,,,,,,,,,,
mixtral,4096,100.83 s,300,10,,,,,,,,,,,,,,,
mixtral,128,1079.78 s,300,15,,,,,,,,,,,,,,,
mixtral,256,568.72 s,300,15,,,,,,,,,,,,,,,
mixtral,512,311.53 s,300,15,,,,,,,,,,,,,,,
mixtral,1024,184.24 s,300,15,,,,,,,,,,,,,,,
mixtral,2048,117.33 s,300,15,,,,,,,,,,,,,,,
mixtral,3072,102.05 s,300,15,,,,,,,,,,,,,,,
mixtral,4096,100.36 s,300,15,,,,,,,,,,,,,,,
mixtral,128,1053.96 s,300,20,,,,,,,,,,,,,,,
mixtral,256,564.66 s,300,20,,,,,,,,,,,,,,,
mixtral,512,298.19 s,300,20,,,,,,,,,,,,,,,
mixtral,1024,184.35 s,300,20,,,,,,,,,,,,,,,
mixtral,2048,118.93 s,300,20,,,,,,,,,,,,,,,
mixtral,3072,107.32 s,300,20,,,,,,,,,,,,,,,
mixtral,4096,101.04 s,300,20,,,,,,,,,,,,,,,
qwen,128,1240.58 s,300,1,,,,,,,,,,,,,,,
