scheduler,model,Request Id,request_num_prefill_tokens,request_num_decode_tokens,request_scheduling_delay,request_execution_time,request_e2e_time,ttft,tpot,prefill_exec_with_preemption,decode_exec_with_preemption
sarathi,llama,0_0,11,57,0.0375544750131666,1.8461635685525837,1.961350302910432,0.1423648679628968,0.0319120251745181,0.1048103929497301,1.8189854349475356
sarathi,llama,0_1,320,64,0.037566847866401,2.061405777232721,2.180710945976898,0.1423804019577801,0.0318489147502987,0.104813554091379,2.038330544019118
sarathi,llama,0_10,22,183,0.1429257290437817,5.52112389029935,5.803442553849891,0.2269503928255289,0.0304726347596959,0.0840246637817472,5.576492161024362
sarathi,llama,0_11,11,517,0.1429475639015436,15.41241513681598,15.854541786946356,0.2269614269025623,0.0302274281625605,0.0840138630010187,15.627580360043794
sarathi,llama,0_12,14,505,0.1429527059663087,15.079026004765185,15.492717923829332,0.2269723589997738,0.0302291991382763,0.0840196530334651,15.265745564829558
sarathi,llama,0_13,4,474,0.1429574249777943,14.20249788207002,14.587724821874872,0.2269837479107082,0.0302969220969708,0.0840263229329139,14.360741073964164
sarathi,llama,0_14,8,442,0.1430561109445989,13.281291214982048,13.63695390895009,0.2269951908383518,0.0303392731178998,0.0839390798937529,13.40995871811174
sarathi,llama,0_15,92,2,0.1430617070291191,0.2057803838979452,0.3511678529903292,0.2767276398371905,0.0372201065765693,0.1336659328080713,0.0744402131531387
sarathi,llama,0_16,86,93,0.2276599740143865,2.826347144553438,3.122398284031078,0.2767399519216269,0.0305984766893489,0.0490799779072403,2.8456583321094517
sarathi,llama,0_17,5,279,0.2276651829015463,8.357427143491805,8.722642992855981,0.2767514870502054,0.0302720125656121,0.0490863041486591,8.445891505805776
sarathi,llama,0_18,31,371,0.2276699780486524,11.131193696521224,11.520536619937047,0.2767629539594054,0.030306667563282,0.049092975910753,11.243773665977642
sarathi,llama,0_2,82,445,0.0375723438337445,13.327731067314744,13.698729963041842,0.1423926278948784,0.0304636794048246,0.1048202840611338,13.556337335146964
sarathi,llama,0_3,30,51,0.0375771669205278,1.688273864099756,1.787826953921467,0.1424067539628595,0.0322631411756589,0.1048295870423317,1.6454201999586076
sarathi,llama,0_4,27,234,0.0375819269102066,7.091128793312237,7.317811731947586,0.1424182360060513,0.0306640747689809,0.1048363090958446,7.175393495941535
sarathi,llama,0_5,215,82,0.0375866899266839,2.6335980682633817,2.7590788728557527,0.2268835268914699,0.0308804310483449,0.189296836964786,2.5321953459642828
sarathi,llama,0_6,11,41,0.1429060499649495,1.3365351788233966,1.5257567709777504,0.2268960040528327,0.0316795309006077,0.0839899540878832,1.2988607669249177
sarathi,llama,0_7,26,30,0.1429114248603582,1.028467730851844,1.204686176031828,0.2269105799496173,0.032592519869407,0.0839991550892591,0.9777755960822104
sarathi,llama,0_8,40,83,0.1429162689018994,2.5662133214063942,2.79196146200411,0.2269222089089453,0.0309040873866887,0.0840059400070458,2.565039253095165
sarathi,llama,0_9,169,20,0.1429210589267313,0.7334401081316173,0.8971631589811295,0.2269389049615711,0.0335112127009779,0.0840178460348397,0.6702242540195584
sarathi,mistral,0_0,11,57,0.022670284146443,1.7333286716602745,1.8198569410014895,0.123907868983224,0.0297534924915485,0.101237584836781,1.6959490720182655
sarathi,mistral,0_1,320,64,0.0226798190269619,1.9154984659980985,2.0050692399963737,0.1239233831875026,0.0293929040126386,0.1012435641605407,1.881145856808871
sarathi,mistral,0_10,22,183,0.1244236200582236,4.850778362946585,5.092801933176816,0.20422552106902,0.0267135323065999,0.0798019010107964,4.888576412107796
sarathi,mistral,0_11,11,517,0.124427261063829,13.168067981256172,13.546464577084407,0.2042372110299766,0.0258070161819234,0.0798099499661475,13.34222736605443
sarathi,mistral,0_12,14,505,0.1244306631851941,12.8795348724816,13.2335930170957,0.2042463500984013,0.0258006864693015,0.0798156869132071,13.0293466669973
sarathi,mistral,0_13,4,474,0.1244340711273253,12.13762517925352,12.46807295200415,0.2042553022038191,0.0258730330164563,0.0798212310764938,12.26381764980033
sarathi,mistral,0_14,8,442,0.1244373919907957,11.366681911982596,11.672217312036082,0.2042639120481908,0.0259455959275744,0.0798265200573951,11.467953399987891
sarathi,mistral,0_15,92,2,0.1244411449879407,0.1899379892274737,0.3162360901478678,0.2472820610273629,0.0344770145602524,0.1228409160394221,0.0689540291205048
sarathi,mistral,0_16,86,93,0.2047916459850967,2.5477459975518286,2.8086291211657226,0.247300200164318,0.0275411711935634,0.0425085541792213,2.5613289210014045
sarathi,mistral,0_17,5,279,0.2047956050373613,7.237329567782581,7.561749830143526,0.2473093771841377,0.0262166324478831,0.0425137721467763,7.3144404529593885
sarathi,mistral,0_18,31,371,0.2047993422020226,9.558671765727922,9.89947285107337,0.2473179211374372,0.026016590107644,0.0425185789354145,9.652154929935932
sarathi,mistral,0_2,82,445,0.0226839971728622,11.4222722442355,11.724738171091303,0.1239347571972757,0.026069221154818,0.1012507600244134,11.600803413894027
sarathi,mistral,0_3,30,51,0.0226874521467834,1.5859064403921366,1.6584887669887394,0.1239446371328085,0.0300891005854104,0.1012571849860251,1.5345441298559308
