scheduler,model,Request Id,request_num_prefill_tokens,request_num_decode_tokens,request_scheduling_delay,request_execution_time,request_e2e_time,ttft,tpot,prefill_exec_with_preemption,decode_exec_with_preemption
sarathi,llama,0_0,320,64,0.0001032762229442,2.285311485407874,2.3105387452524155,0.0917816332075744,0.0346680798757006,0.0916783569846302,2.218757112044841
sarathi,llama,0_1,30,51,0.0793967416975647,1.8527346174232664,1.9475593697279687,0.1144880775827914,0.0359425743557878,0.0350913358852267,1.8330712921451775
sarathi,llama,0_10,40,83,0.8853315587621182,3.9912725740578026,4.937110210768879,0.9665590187069028,0.0478379661694213,0.0812274599447846,3.970551192061976
sarathi,llama,0_11,22,183,0.5333778348285705,8.15916846669279,8.892291477648541,0.6146258087828755,0.0452331457315063,0.081247973954305,8.277665668865666
sarathi,llama,0_12,14,505,0.5199337408412248,20.573592219967395,21.48817843780853,0.601202294928953,0.0413603487977813,0.0812685540877282,20.886976142879572
sarathi,llama,0_13,259,3333,0.4090909603983164,110.88076286599971,113.05275008035824,0.4903798163868487,0.0337720882880202,0.0812888559885323,112.5623702639714
sarathi,llama,0_14,2221,1310,0.0054578105919063,50.23263909644447,50.92229180363938,0.4018488705623895,0.0385652236130358,0.3963910599704832,50.52044293307699
sarathi,llama,0_15,3009,606,0.0087041575461626,24.52408390538767,24.901791088515893,0.5877478835172951,0.0401221835065983,0.5790437259711325,24.3140432049986
sarathi,llama,0_16,4,474,0.4191679682116955,18.916094501968477,19.619721019174904,0.4632448891643435,0.0404145066033978,0.0440769209526479,19.15647613001056
sarathi,llama,0_17,8,442,0.0187807499896734,17.6673852535896,17.93832273897715,0.0614055620972067,0.0404455139748415,0.0426248121075332,17.876917176879942
sarathi,llama,0_18,996,1749,0.034772029845044,64.18182934308425,64.9962953638751,0.2100281529128551,0.0370418909153586,0.1752561230678111,64.78626721096225
sarathi,llama,0_2,31,2770,0.0026527047157287,95.81483819289132,98.1154985066969,0.0306159497704356,0.0354097048941972,0.0279632450547069,98.08488255692646
sarathi,llama,0_3,730,2887,0.0013925170060247,99.56179421790875,101.55677231494336,0.1095885578542947,0.0351393085407305,0.10819604084827,101.44718375708908
sarathi,llama,0_4,1938,1541,0.0204006575513631,58.80159079423174,59.89459415548481,0.3120707205962389,0.0386648432413293,0.2916700630448758,59.58252343488857
sarathi,llama,0_5,2523,1558,0.0178227699361741,59.43041021283716,60.4617282350082,0.4003451250027865,0.0385503100834437,0.3825223550666123,60.06138311000541
sarathi,llama,0_6,11,41,0.0333474283106625,2.6229724371805787,2.683489117305726,0.0695849612820893,0.0637537599030155,0.0362375329714268,2.6139041560236365
sarathi,llama,0_7,26,30,0.0244278900790959,2.0338445701636374,2.075343405129388,0.0556052450556308,0.0673246053357919,0.0311773549765348,2.019738160073757
sarathi,llama,0_8,3141,186,0.0279700292740017,9.001106792595237,9.26042328728363,0.5937891022767872,0.0465948074462733,0.5658190730027854,8.666634185006842
sarathi,llama,0_9,3023,213,0.5002459806855768,9.8295890300069,10.570147388614714,1.0898885987699032,0.0445082572293183,0.5896426180843264,9.480258789844813
sarathi,mistral,0_0,320,64,0.0001019544433802,2.2326203275006264,2.257762596476823,0.0955767824780196,0.0337841533437313,0.0954748280346393,2.1621858139988035
sarathi,mistral,0_1,30,51,0.0831362677272409,1.8310766073409468,1.9295098318252712,0.1248142677359283,0.0353861875311635,0.0416780000086873,1.804695564089343
sarathi,mistral,0_10,40,83,0.8057878718245775,3.1393795253243297,4.017573840916157,0.8845930460374802,0.0377467565648033,0.0788051742129027,3.1329807948786765
sarathi,mistral,0_11,22,183,0.4538343448657542,6.093596496153623,6.702346922829747,0.5326449580024928,0.0337142183870341,0.0788106131367385,6.169701964827254
sarathi,mistral,0_12,14,505,0.4403904820792377,15.345271529396996,16.13423753110692,0.519206193042919,0.0309208541347802,0.0788157109636813,15.615031338064
sarathi,mistral,0_13,259,3333,0.3295480206143111,92.19488665205428,93.86325454851612,0.4083693455904722,0.0280392694878264,0.0788213249761611,93.45488520292564
sarathi,mistral,0_14,2221,1310,0.0281706829555332,38.470038967672735,39.1521127698943,0.3916433048434555,0.0295881446298098,0.3634726218879223,38.760469465050846
sarathi,mistral,0_15,3009,606,0.0278175836428999,18.243466772139072,18.601640281733125,0.5522412506397814,0.029784486849989,0.5244236669968814,18.049399031093344
sarathi,mistral,0_16,4,474,0.3911395464092493,13.95745094725862,14.59803421748802,0.4277411643415689,0.0298951330235157,0.0366016179323196,14.170293053146452
sarathi,mistral,0_17,8,442,0.0134067852050066,13.034308335278183,13.266491775168106,0.0470480110961943,0.0299082438101174,0.0336412258911877,13.219443764071912
sarathi,mistral,0_18,996,1749,0.029416796984151,49.9792433467228,50.6760967860464,0.1856866651214659,0.0288681590171097,0.1562698681373149,50.490410120924935
sarathi,mistral,0_2,31,2770,0.0147165728267282,78.10947609390132,79.99751354684122,0.0438706378918141,0.0288641310140611,0.0291540650650858,79.9536429089494
sarathi,mistral,0_3,730,2887,0.0179166032467037,81.48354031774215,83.16199524118565,0.1308469451032579,0.0287603561815318,0.1129303418565541,83.03114829608239
sarathi,mistral,0_4,1938,1541,0.0129685467109084,45.72529694926925,46.76721044164151,0.3112724877428263,0.0301466177507454,0.2983039410319179,46.45593795389868
sarathi,mistral,0_5,2523,1558,0.0020981200505048,46.13930971105583,47.104161605238914,0.3849196492228657,0.029986676480113,0.3828215291723609,46.71924195601605
sarathi,mistral,0_6,11,41,0.0030491214711219,2.3417781651951373,2.366456529358402,0.0303731535095721,0.056977643313386,0.0273240320384502,2.3360833758488297
sarathi,mistral,0_7,26,30,0.0111813442781567,1.653228785842657,1.6763316772412509,0.0401368441525846,0.0545398277696222,0.0289554998744279,1.6361948330886662
sarathi,mistral,0_8,3141,186,0.0022650745231658,6.923025258351117,7.10273728845641,0.5464990995824337,0.0352485924133009,0.5442340250592679,6.5562381888739765
sarathi,mistral,0_9,3023,213,0.4545319979079067,7.419225161895156,8.063942602835596,1.0079415617510676,0.033126765451101,0.5534095638431609,7.056001041084528
sarathi,mixtral,0_0,320,64,0.0001069302670657,1.1839786951895803,1.2066024134401232,0.0615245902445167,0.0178918409874313,0.0614176599774509,1.1450778231956065
sarathi,mixtral,0_1,30,51,0.0490995896980166,0.9136278296355158,0.976447247667238,0.0702313107904046,0.0177689399387614,0.021131721092388,0.9062159368768334
sarathi,mixtral,0_10,40,83,0.1334273298271,1.618440056219697,1.792194859823212,0.1544642138760537,0.0197316945294838,0.0210368840489536,1.6377306459471583
sarathi,mixtral,0_11,22,183,0.019442195771262,3.440955028636381,3.570163141936064,0.0402369238436222,0.019289214306516,0.0207947280723601,3.5299262180924416
sarathi,mixtral,0_12,14,505,0.0059993569739162,9.836792040383443,10.167973980074748,0.0267996969632804,0.020081533233884,0.0208003399893641,10.141174283111468
sarathi,mixtral,0_13,259,3333,0.0160905404482036,64.44594040280208,66.14759167144075,0.036480093607679,0.0198353170050504,0.0203895531594753,66.11111157783307
sarathi,mixtral,0_14,2221,1310,0.0041555226780474,27.085725310025737,27.773036292754117,0.1133104017935693,0.0211142945732523,0.1091548791155219,27.659725890960544
sarathi,mixtral,0_15,3009,606,0.0076379776000976,12.322436392772945,12.673668031580746,0.1539079416543245,0.0206596701153901,0.1462699640542268,12.519760089926422
sarathi,mixtral,0_16,4,474,0.0052307422738522,9.374313429230824,9.62137138727121,0.0294043812900781,0.0202362173121964,0.0241736390162259,9.591967005981132
sarathi,mixtral,0_17,8,442,0.017208517063409,8.769937039818615,8.996088369050995,0.0366427400149405,0.0202702389797195,0.0194342229515314,8.959445629036054
sarathi,mixtral,0_18,996,1749,0.0198949771001935,36.66307173599489,37.48128565587104,0.0669582108967006,0.0213918395911802,0.0470632337965071,37.41432744497433
sarathi,mixtral,0_2,31,2770,0.0034640468657016,54.1302449577488,56.389414133736864,0.0221798787824809,0.0203491820414997,0.0187158319167792,56.36723425495438
sarathi,mixtral,0_3,730,2887,0.0009844379965215,56.50056475726888,58.46137308515608,0.039658066118136,0.020236132670259,0.0386736281216144,58.42171501903795
sarathi,mixtral,0_4,1938,1541,0.0034395975526422,31.184593106387183,32.23675801162608,0.0819092355668544,0.0208662224374167,0.0784696380142122,32.154848776059225
sarathi,mixtral,0_5,2523,1558,0.0064996040891855,31.72072182688862,32.70845356397331,0.1025460150558501,0.0209280536257493,0.0960464109666645,32.60590754891746
sarathi,mixtral,0_6,11,41,0.0070335853379219,0.8277256379369646,0.8500176763627678,0.0255143123213201,0.0201098381473523,0.0184807269833982,0.8245033640414476
sarathi,mixtral,0_7,26,30,0.0016376071143895,0.6147016799077392,0.6255912391934544,0.0208682951051741,0.0201574314696093,0.0192306879907846,0.6047229440882802
sarathi,mixtral,0_8,3141,186,0.0159031213261187,3.6352612886112174,3.776506010442972,0.1644661463797092,0.0194195691616304,0.1485630250535905,3.612039864063263
sarathi,mixtral,0_9,3023,213,0.1281183727551251,4.117191084427759,4.389570887666196,0.2778120567090809,0.0193040320702211,0.1496936839539557,4.111758830957115
vllm,llama,0_0,320,64,8.915551006793976e-05,1.7931598918512464,2.557253124425188,0.0991908584255725,0.0384072229062439,0.0991017029155045,2.458062265999615
vllm,llama,0_1,30,51,0.0866688648238778,1.3677908189129084,2.169314702739939,0.1250661627855152,0.0400833047049887,0.0383972979616373,2.044248539954424
vllm,llama,0_10,40,83,0.6676287408918142,3.312566096195951,4.8890735597815365,0.7208335939794779,0.0502197586241211,0.0532048530876636,4.168239965802059
vllm,llama,0_11,22,183,0.3156764809973538,7.386471498990431,8.677815082948655,0.3688902917783707,0.0454039606074878,0.0532138107810169,8.308924791170284
vllm,llama,0_12,14,505,0.3022332761902362,19.95060858060606,21.42521919496357,0.3554520080797374,0.0417223112611561,0.0532187318895012,21.06976718688384
vllm,llama,0_13,259,3333,0.1913915746845305,112.95883959857748,115.49298489862122,0.2446154346689582,0.0345779686360492,0.0532238599844276,115.24836946395226
vllm,llama,0_14,2221,1310,0.0082456048112362,50.34651788906194,51.53537208982743,0.2973972877953201,0.0391129578641466,0.2891516829840839,51.23797480203211
vllm,llama,0_15,3009,606,0.0178421856835484,24.40988937835209,24.90440493263304,0.4121244656853378,0.0404163044009038,0.3942822800017893,24.492280466947705
vllm,llama,0_16,4,474,0.2877655753400177,18.794474507449195,19.452801930485293,0.3117776303552091,0.0403819078061816,0.0240120550151914,19.141024300130084
vllm,llama,0_17,8,442,0.0259122571442276,17.522502835839987,17.865691749146208,0.0499885971657931,0.040307020705838,0.0240763400215655,17.815703151980415
vllm,llama,0_18,996,1749,0.0184340381529182,64.87577113811858,65.54793794406578,0.1358534230384975,0.0373997052721711,0.1174193848855793,65.41208452102728
vllm,llama,0_2,31,2770,0.0138151817955076,95.64675801829436,100.0694115778897,0.0388683138880878,0.036112109481589,0.0250531320925802,100.0305432640016
vllm,llama,0_3,730,2887,0.0101608310360461,99.60101625160314,103.68914261623286,0.1129561341367662,0.0358767531978164,0.10279530310072,103.57618648209608
vllm,llama,0_4,1938,1541,0.0092354067601263,57.97815771657042,61.04282211163081,0.2548398857470602,0.0394471007306189,0.2456044789869338,60.78798222588375
vllm,llama,0_5,2523,1558,0.0121547940652817,58.82488419674337,61.51149881607853,0.3324294241610914,0.0392676953735028,0.3202746300958097,61.17906939191744
vllm,llama,0_6,11,41,0.0006385853048413,1.481050597270951,3.1088792183436453,0.0247757013421505,0.0752220370000364,0.0241371160373091,3.0841035170014948
vllm,llama,0_7,26,30,0.0078672552481293,1.0651504716370257,2.6646692401263863,0.032982436241582,0.0877228934628268,0.0251151809934526,2.631686803884804
vllm,llama,0_8,3141,186,0.0172066844534128,8.225816760212183,9.295115721412005,0.8059322375338525,0.0456407714186997,0.7887255530804396,8.48918348387815
vllm,llama,0_9,3023,213,0.0020865148399025,9.290819018380716,10.355299540795386,0.7908185897395015,0.044903666436882,0.788732074899599,9.564480951055884
vllm,mistral,0_0,320,64,8.357525803148746e-05,1.7805232773534954,2.6132933183107525,0.0967020713724196,0.0393217382334114,0.0966184961143881,2.516591246938333
vllm,mistral,0_1,30,51,0.0843726166058331,1.3947590009775013,2.250287579605356,0.1268966656643897,0.0416351159596267,0.0425240490585565,2.123390913940966
vllm,mistral,0_10,40,83,0.7230036386754364,2.605153077049181,4.398169411811978,0.7825428657233715,0.0435617656155253,0.0595392270479351,3.615626546088606
vllm,mistral,0_11,22,183,0.3710625928360969,5.561947023961693,7.084444464882836,0.4306164546869695,0.0363597159027096,0.0595538618508726,6.653828010195866
vllm,mistral,0_12,14,505,0.3576256269589066,14.88454076088965,16.716147192986682,0.4171939790248871,0.0322751548791322,0.0595683520659804,16.298953213961795
vllm,mistral,0_13,259,3333,0.2467887874227017,90.4897585476283,93.39776622038336,0.3063722075894475,0.0279302112249606,0.0595834201667457,93.0913940127939
vllm,mistral,0_14,2221,1310,0.0002815148327499,38.00850300327875,39.44890817767009,0.3129408666864037,0.0298747842068577,0.3126593518536538,39.13596731098369
vllm,mistral,0_15,3009,606,0.0154947217088192,18.224750885739923,18.929194600554183,0.4282527996692806,0.0305296069321533,0.4127580779604614,18.500941800884902
vllm,mistral,0_16,4,474,0.3041404322721064,14.090035470668226,14.953720534220338,0.329237790312618,0.0308533391221681,0.0250973580405116,14.62448274390772
