scheduler,model,rep,Request Id,request_num_prefill_tokens,request_num_decode_tokens,request_scheduling_delay,request_execution_time,request_e2e_time,ttft,tpot,prefill_exec_with_preemption,decode_exec_with_preemption
sarathi,llama,1,0_0,11,41,0.0037104680668562,1.036736987065524,1.047881528036669,0.0719027060549706,0.0238043615117487,0.0681922379881143,0.9759788219816984
sarathi,llama,2,0_0,11,41,0.0030783100519329,1.1078326099086553,1.118685006047599,0.0956249269656837,0.0249526848556564,0.0925466169137507,1.023060079081915
sarathi,llama,3,0_0,11,41,0.0032431500731036,1.0504938452504575,1.0618864439893514,0.076045933063142,0.0240448905103953,0.0728027829900384,0.9858405109262094
sarathi,llama,4,0_0,11,41,0.002847731928341,1.0354099944233894,1.044946389971301,0.0868459849152714,0.0233683025623421,0.0839982529869303,0.9581004050560296
sarathi,llama,5,0_0,11,41,0.0027129659429192,1.0467418245971205,1.0564508319366723,0.0971322739496827,0.0233980136094387,0.0944193080067634,0.9593185579869896
sarathi,mistral,1,0_0,11,41,0.0028132230509072,1.059870134224184,1.0697673510294408,0.0706163370050489,0.0243695369274241,0.0678031139541417,0.9991510140243918
sarathi,mistral,2,0_0,11,41,0.0027559970039874,1.0604171364102513,1.069512824062258,0.0747508410131558,0.0242624873914415,0.0719948440091684,0.994761983049102
sarathi,mistral,3,0_0,11,41,0.0026680519804358,1.0716506359167397,1.0807533599436283,0.0834943959489464,0.0243233893657239,0.0808263439685106,0.9972589639946818
sarathi,mistral,4,0_0,11,41,0.0027072780067101,1.0617167650489137,1.070866771042347,0.0708280900726094,0.0243911873407253,0.0681208120658993,1.0000386809697377
sarathi,mistral,5,0_0,11,41,0.0030263760127127,1.0622643071692437,1.0735158319585023,0.0710882439743727,0.0244494533654665,0.06806186796166,1.0024275879841298
sarathi,mixtral,1,0_0,11,41,0.0030484310118481,0.7437711918028072,0.7533525250619277,0.0699903330532834,0.0166673705367962,0.0669419020414352,0.6833621920086443
sarathi,mixtral,2,0_0,11,41,0.0030378689989447,0.740701096248813,0.750369715038687,0.0682215880369767,0.0166377591951636,0.065183719038032,0.6821481270017102
sarathi,mixtral,3,0_0,11,41,0.0033670609118416,0.790873394231312,0.8023375339107588,0.0683367350138723,0.0179024585096801,0.0649696741020307,0.7340007988968864
sarathi,mixtral,4,0_0,11,41,0.0030243550427258,0.7472279007779434,0.7573710450669751,0.0682603439781814,0.0168075780753364,0.0652359889354556,0.6891107010887936
sarathi,mixtral,5,0_0,11,41,0.0030657099559903,0.7416298853931949,0.7519119440112263,0.0679082489805296,0.0166830169519682,0.0648425390245392,0.6840036950306967
vllm,llama,1,0_0,11,41,0.0029494100017473,1.07623364625033,1.087514366954565,0.0823593749664723,0.0245159754143437,0.079409964964725,1.0051549919880929
vllm,llama,2,0_0,11,41,0.0026521920226514,1.0371546180685982,1.0465324620017782,0.083932036999613,0.0234780591463942,0.0812798449769616,0.9626004250021652
vllm,llama,3,0_0,11,41,0.0027682520449161,1.0268104571150616,1.0369163480354473,0.0767692819936201,0.0234182211229713,0.0740010299487039,0.9601470660418272
vllm,llama,4,0_0,11,41,0.0028729760088026,1.0365127032855526,1.047099188901484,0.082368274917826,0.0235300222922843,0.0794952989090234,0.964730913983658
vllm,llama,5,0_0,11,41,0.0027866190066561,1.0375658908160403,1.0473466760013252,0.0859425449743866,0.0234488812445594,0.0831559259677305,0.9614041310269386
vllm,mistral,1,0_0,11,41,0.0029618320986628,1.06106945395004,1.071005230071023,0.0717400040011853,0.0243723225870692,0.0687781719025224,0.9992652260698378
vllm,mistral,2,0_0,11,41,0.0030586440116167,1.0615174147533253,1.0712182910647243,0.0713323910022154,0.0243874609771343,0.0682737469905987,0.9998859000625088
vllm,mistral,3,0_0,11,41,0.0030847789021208,1.0542964219348503,1.0641538630006837,0.0712030619615688,0.0242183122204662,0.068118283059448,0.9929508010391146
vllm,mistral,4,0_0,11,41,0.0029920609667897,1.1436535333050415,1.1530429200502113,0.0826540490379557,0.0261070456344452,0.0796619880711659,1.0703888710122555
vllm,mistral,5,0_0,11,41,0.0030514280078932,1.0757472831755877,1.0870338319800794,0.0809376400429755,0.024538931510661,0.0778862120350822,1.006096191937104
vllm,mixtral,1,0_0,11,41,0.0030196619918569,0.7451668907888234,0.7545661570038646,0.0710081009892746,0.0166721477076729,0.0679884389974176,0.68355805601459
vllm,mixtral,2,0_0,11,41,0.0031836649868637,0.7493998750578612,0.7597324158996344,0.071523621911183,0.0167855803411817,0.0683399569243192,0.6882087939884514
vllm,mixtral,3,0_0,11,41,0.0030926070176064,0.7491571217542514,0.7593222220893949,0.0714419269934296,0.0167775681730723,0.0683493199758231,0.6878802950959653
vllm,mixtral,4,0_0,11,41,0.0030246669193729,0.7941523689078167,0.8036970369284973,0.0713316549081355,0.0178625702931795,0.0683069879887625,0.7323653820203617
vllm,mixtral,5,0_0,11,41,0.0032972249900922,0.7415613225894049,0.7524029420455918,0.0714687419822439,0.0166081512210572,0.0681715169921517,0.6809342000633478
