scheduler,model,Request Id,request_num_prefill_tokens,request_num_decode_tokens,request_scheduling_delay,request_execution_time,request_e2e_time,ttft,tpot,prefill_exec_with_preemption,decode_exec_with_preemption
sarathi,llama,0_0,320,64,0.0327080629067495,4.156495007337071,4.249898735899478,0.1351309029851108,0.0642932473892869,0.1024228400783613,4.114767832914367
sarathi,llama,0_1,30,51,0.0327183839399367,3.642972722183913,3.7177339720074087,0.1351430380018428,0.0702468810589326,0.102424654061906,3.582590934005566
sarathi,llama,0_10,40,83,1.8587822349509224,4.04699286678806,5.970586012932472,1.9452114969026295,0.0484984881449378,0.0864292619517073,4.025374516029842
sarathi,llama,0_11,22,183,1.8587860439438373,8.106143825338222,10.09791905793827,1.9452205379493532,0.0445502651365514,0.0864344940055161,8.152698519988917
sarathi,llama,0_12,14,505,1.8587893759831784,20.39654057926964,22.582590501988307,1.945229044998996,0.0408660622910679,0.0864396690158173,20.63736145698931
sarathi,llama,0_13,259,3333,1.858792739920318,108.37329044332728,111.4035507509252,1.9452377340057865,0.0328407779828741,0.0864449940854683,109.45831301691942
sarathi,llama,0_14,2221,1310,1.8587960799923169,49.49056216992904,51.9364015168976,2.375174076994881,0.0378329980457272,0.5163779970025644,49.56122743990272
sarathi,llama,0_15,3009,606,2.288517692941241,24.31147159927059,26.913534288993105,2.913534963969141,0.0396039592822177,0.6250172710279003,23.999999325023964
sarathi,llama,0_16,4,474,2.8220990179106598,18.744194730650637,21.80009576294105,2.913545327959582,0.0398450431117752,0.0914463100489229,18.886550434981476
sarathi,llama,0_17,8,442,2.822103296988644,17.515864847577177,20.542529101949185,2.913554053986445,0.0398845589320423,0.0914507569978013,17.62897504796274
sarathi,llama,0_18,996,1749,2.822106596897356,63.21935176465195,66.63732834695838,3.0708104309160262,0.0363444928050556,0.24870383401867,63.56651791604236
sarathi,llama,0_2,31,2770,0.0327225049259141,94.12414275098126,95.7741781749064,0.1351531899999827,0.0345267238212658,0.1024306850740686,95.63902498490644
sarathi,llama,0_3,730,2887,0.0327261969214305,97.69318024930544,99.1705579420086,0.2779435379197821,0.0342544559764769,0.2452173409983515,98.89261440408882
sarathi,llama,0_4,1938,1541,0.2064901499543339,58.16960213601124,59.30205006094184,0.5006455479888245,0.0381579523121044,0.2941553980344906,58.80140451295301
sarathi,llama,0_5,2523,1558,0.4245965379523113,58.755261560902,60.04212241596542,0.8820701249642298,0.0379717922278569,0.4574735870119184,59.16005229100119
sarathi,llama,0_6,11,41,0.8018846509512514,2.885375148500316,3.71793915994931,0.8820807909360155,0.0691672772930071,0.0801961399847641,2.8358583690132946
sarathi,llama,0_7,26,30,0.8018890519160777,2.4669959130696952,3.2884246989851817,0.9575579789234324,0.0776955573353916,0.1556689270073548,2.330866720061749
sarathi,llama,0_8,3141,186,0.8824737089453265,8.94153932062909,9.976688107009975,1.4397243309067562,0.0458976547102323,0.5572506219614297,8.53696377610322
sarathi,llama,0_9,3023,213,1.3599555789260194,9.76231157896109,11.289269695989788,1.945198633009568,0.043868878229954,0.5852430540835485,9.34407106298022
sarathi,mistral,0_0,320,64,0.0312925020698457,3.748956321272999,3.850814618053846,0.1310309580294415,0.0581216196878813,0.0997384559595957,3.719783660024405
sarathi,mistral,0_1,30,51,0.031304597039707,3.376618758076802,3.455896918079816,0.1310434429906308,0.0651932053939055,0.0997388459509238,3.324853475089185
sarathi,mistral,0_10,40,83,1.833170692087151,3.20871496910695,5.122161712031812,1.9151665010722356,0.0386384965175852,0.0819958089850843,3.206995210959576
sarathi,mistral,0_11,22,183,1.833175874082372,6.133726384490728,8.123679950018413,1.9151755810016768,0.0339262533826051,0.081999706919305,6.208504369016737
sarathi,mistral,0_12,14,505,1.8331802840111775,15.287998170009814,17.475065623992123,1.9151840560371056,0.0308116466692178,0.0820037720259279,15.559881567955015
sarathi,mistral,0_13,259,3333,1.833183633047156,90.87003015901428,93.92288671608549,1.9151930750813333,0.0276050685991611,0.0820094420341774,92.00769364100417
sarathi,mistral,0_14,2221,1310,1.8331871810369196,38.19417737238109,40.652157812030055,2.311437650001608,0.0292677253145255,0.4782504689646885,38.34072016202845
sarathi,mistral,0_15,3009,606,2.231548857991584,18.154941304936077,20.72307522408664,2.801446953089908,0.0295736440115457,0.5698980950983241,17.921628270996734
sarathi,mistral,0_16,4,474,2.718732212088071,13.927633826970125,16.90156708401628,2.8014571490930398,0.0297470673732557,0.0827249370049685,14.10010993492324
sarathi,mistral,0_17,8,442,2.7187376170186326,13.026359907118604,15.969906173064372,2.801465998054482,0.029792851074683,0.0827283810358494,13.168440175009891
sarathi,mistral,0_18,996,1749,2.718742174096405,49.628882688470185,52.99730483908206,2.9403548550326377,0.0286203258913947,0.2216126809362322,50.05694998404943
