Dataset,Model,Sarathi-Serve,Chunk Size,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot (p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption,,vLLM with Preemption,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot(p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,
,,,128,3756.18 s,1000,,0.26,2397.89,58.4,3666.29,0.056,3678.03,,,,,,,1075.13 s,1000,,0.93,8377.52,204.04,993.63,0.79,1030.31,,,,
,,,256,1890.43 s,1000,,0.52,4764.48,116.04,1818.17,0.056,1829.98,,,,,,,,,,,,,,,,,,,
,,,512,1250.45 s,1000,,0.79,7202.94,175.43,1179.66,0.075,1194.4,,,,,,,,,,,,,,,,,,,
,,,1024,1101.55 s,1000,,0.9,8176.59,199.15,1032.85,0.13,1053,,,,,,,,,,,,,,,,,,,
,,,2048,1022.25 s,1000,,0.97,8810.88,214.6,950.35,0.23,978.17,,,,,,,,,,,,,,,,,,,
,,,3072,997.68 s,1000,,1,9027.87,219.88,920.2,0.34,953.06,,,,,,,,,,,,,,,,,,,
,,,4096,966.64 s,1000,,1.03,9317.76,226.94,889.65,0.44,923.17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,
,,,128,3792.36 s,1000,,0.26,2375.01,57.84,3719.5,0.056,3731.24,,,,,,,1077.66 s,1000,,0.92,8357.85,203.56,1011.9,0.78,1048.69,,,,
,,,256,1875.24 s,1000,,0.53,4803.07,116.98,1819.52,0.056,1831.31,,,,,,,,,,,,,,,,,,,
,,,512,1248.30 s,1000,,0.8,7215.35,175.74,1197.27,0.075,1212.29,,,,,,,,,,,,,,,,,,,
,,,1024,1100.94 s,1000,,0.9,8181.12,199.26,1049.11,0.13,1069.57,,,,,,,,,,,,,,,,,,,
,,,2048,1013.83 s,1000,,0.98,8884.05,216.38,954.69,0.23,983.15,,,,,,,,,,,,,,,,,,,
,,,3072,995.71 s,1000,,1,9045.73,220.32,936.77,0.34,968.17,,,,,,,,,,,,,,,,,,,
,,,4096,981.96 s,1000,,1.01,9172.39,223.4,916.95,0.45,953.69,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,chunk_size: 1024,Sarathi Serve : 200 Requests,1098 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1097.73 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1101.15 s,gpu = .45,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1257.98 s,gpu = .25,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vLLM 200 Requests,1079.64 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1125.59 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1163.69 s,gpu = .45,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1679.94 s,gpu = .25,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arxiv,Llama-2-7b-hf,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,
,,,128,3913.01 s,1000,,0.25,2301.78,56.06,2912.11,0.063,2925.53,,,,,,,2117.17 s,1000,,0.47,4254.22,103.61,1135.56,0.16,1155.9,,,,
,,,256,2329.01 s,1000,,0.42,3867.27,94.19,1344.22,0.077,1358.8,,,,,,,,,,,,,,,,,,,
,,,512,1954.16 s,1000,,0.51,4609.1,112.26,971.45,0.1,990.89,,,,,,,,,,,,,,,,,,,
,,,1024,1965.28 s,1000,,0.5,4583.02,111.62,983.89,0.13,1003.4,,,,,,,,,,,,,,,,,,,
,,,2048,1965.73 s,1000,,0.5,4581.97,111.6,986.82,0.14,1006.43,,,,,,,,,,,,,,,,,,,
,,,3072,2000.72 s,1000,,0.49,4501.84,109.64,1019.11,0.14,1039.92,,,,,,,,,,,,,,,,,,,
,,,4096,2021.73 s,1000,,0.49,4455.05,108.5,1041.67,0.15,1062.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,
,,,128,3957.60 s,1000,,0.25,2275.85,55.43,3740.96,0.063,3752.3,,,,,,,2129.95 s,1000,,0.46,4228.7,102.99,1923.6,0.16,1946.61,,,,
,,,256,2331.56 s,1000,,0.42,3863.04,94.09,2126.31,0.076,2139.95,,,,,,,,,,,,,,,,,,,
,,,512,1955.23 s,1000,,0.51,4606.58,112.2,1751.4,0.1,1771.23,,,,,,,,,,,,,,,,,,,
,,,1024,1974.06 s,1000,,0.5,4562.64,111.12,1772.63,0.13,1792.84,,,,,,,,,,,,,,,,,,,
,,,2048,1961.29 s,1000,,0.5,4592.34,111.85,1758.85,0.14,1780.39,,,,,,,,,,,,,,,,,,,
,,,3072,2014.62 s,1000,,0.49,4470.78,108.89,1811.86,0.15,1833.23,,,,,,,,,,,,,,,,,,,
,,,4096,2037.17 s,1000,,0.49,4421.29,107.68,1834.26,0.15,1856.19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,
,,,128,3987.48 s,1000,,0.25,2258.8,55.01,3866.01,0.063,3878.17,,,,,,,2159.96 s,1000,,0.46,4169.95,101.56,2050.73,0.16,2073.67,,,,
,,,256,2313.72 s,1000,,0.43,3892.83,94.81,2208.79,0.076,2221.33,,,,,,,,,,,,,,,,,,,
,,,512,1956.95 s,1000,,0.51,4602.53,112.1,1850.15,0.1,1869.61,,,,,,,,,,,,,,,,,,,
,,,1024,1967.44 s,1000,,0.5,4577.99,111.5,1861.7,0.13,1882.6,,,,,,,,,,,,,,,,,,,
,,,2048,1939.97 s,1000,,0.51,4642.81,113.08,1835.44,0.14,1856.76,,,,,,,,,,,,,,,,,,,
,,,3072,2028.03 s,1000,,0.49,4441.21,108.17,1922.73,0.15,1943.94,,,,,,,,,,,,,,,,,,,
,,,4096,2003.47 s,1000,,0.49,4495.66,109.49,1901.23,0.14,1921.82,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,
,,,128,3929.17 s,1000,,0.25,2292.32,55.83,3837.48,0.063,3850.01,,,,,,,2129.91 s,1000,,0.46,4228.78,102.99,2057.86,0.16,2078.25,,,,
,,,256,2338.84 s,1000,,0.42,3851.02,93.79,2262.73,0.077,2276.8,,,,,,,,,,,,,,,,,,,
,,,512,1955.40 s,1000,,0.51,4606.18,112.19,1880.99,0.1,1900.23,,,,,,,,,,,,,,,,,,,
,,,1024,1947.56 s,1000,,0.51,4624.72,112.64,1875.03,0.13,1895.09,,,,,,,,,,,,,,,,,,,
,,,2048,1993.16 s,1000,,0.5,4518.91,110.06,1923.51,0.14,1943.89,,,,,,,,,,,,,,,,,,,
,,,3072,1995.70 s,1000,,0.5,4513.16,109.92,1923.12,0.14,1944.01,,,,,,,,,,,,,,,,,,,
,,,4096,2003.02 s,1000,,0.49,4496.67,109.52,1931.81,0.15,1952.76,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,
,,,128,4003.42 s,1000,,0.24,2249.8,54.79,3934.37,0.064,3945.98,,,,,,,2146.09 s,1000,,0.46,4196.9,102.22,2086.74,0.16,2109.95,,,,
,,,256,2323.57 s,1000,,0.43,3876.33,94.41,2262.98,0.077,2277.15,,,,,,,,,,,,,,,,,,,
,,,512,1936.24 s,1000,,0.51,4651.76,113.3,1879.94,0.1,1898.52,,,,,,,,,,,,,,,,,,,
,,,1024,1977.99 s,1000,,0.5,4553.57,110.9,1921.52,0.13,1942.12,,,,,,,,,,,,,,,,,,,
,,,2048,1967.61 s,1000,,0.5,4577.59,111.49,1911.37,0.14,1932.33,,,,,,,,,,,,,,,,,,,
,,,3072,2026.00 s,1000,,0.49,4445.66,108.28,1970.16,0.15,1990.42,,,,,,,,,,,,,,,,,,,
,,,4096,2047.31 s,1000,,0.48,4399.39,107.15,1991.43,0.15,2013.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,chunk_size: 1024,Sarathi Serve : 200 Requests,1951.92 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2172.26 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2622.26 s,gpu = .45,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7060.07,gpu = .25,11 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vLLM 200 Requests,2133.36 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2323.23 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2970.13,gpu = .45,5 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GPU Out of Memory,gpu = .25,0 Preemption,,,,,,,,,,,,,,
