Sarathi,model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,mistral,3072,1,313.87,2.046264,0.087274,72.61145,0.95581,2528.104,421.0278,1.660001,0,39607,,,,,,,,,,,,,,,
,mistral,4096,1,315.06,1.792108,0.086671,71.31043,0.9522,2518.555,419.4376,1.375195,0,39563,,,,,,,,,,,,,,,
,mistral,128,5,404.28,319.1823,0.068585,351.4361,0.74206,1962.739,326.8725,318.7353,0,39597,,,vLLM,mistral,5,188.72,62.81256,0.999613,167.2649,1.589657,4204.621,700.2331,61.9984,0,43013
,mistral,256,5,247.39,152.5783,0.078464,193.6422,1.21266,3207.47,534.1687,152.3661,0,39575,,,,,,,,,,,,,,,
,mistral,512,5,208.25,101.3258,0.1299,156.3302,1.440576,3810.305,634.5642,101.0803,0,39545,,,,,,,,,,,,,,,
,mistral,1024,5,189.57,63.72543,0.20333,151.1535,1.582529,4185.768,697.0934,63.42631,0,39701,,,,,,,,,,,,,,,
,mistral,2048,5,183.2,54.5202,0.286307,157.4273,1.637555,4331.31,721.3319,53.87114,0,39515,,,,,,,,,,,,,,,
,mistral,3072,5,181.6,51.66215,0.358376,156.8247,1.651982,4369.471,727.6872,51.22345,0,39607,,,,,,,,,,,,,,,
,mistral,4096,5,174.9,49.41363,0.43604,152.151,1.715266,4536.855,755.5632,49.02044,0,39563,,,,,,,,,,,,,,,
,mistral,128,10,374.42,316.4238,0.065948,349.4079,0.801239,2119.267,352.9405,316.2847,0,39597,,,vLLM,mistral,10,182.84,87.54817,0.992041,164.0835,1.640779,4339.838,722.7521,86.71167,0,43013
,mistral,256,10,250.93,183.919,0.07878,222.2546,1.195553,3162.221,526.6329,183.7195,0,39575,,,,,,,,,,,,,,,
,mistral,512,10,205.97,127.1811,0.128155,178.8873,1.456523,3852.483,641.5886,126.87,0,39545,,,,,,,,,,,,,,,
,mistral,1024,10,189.38,90.46564,0.199676,163.5684,1.584117,4189.967,697.7928,90.18954,0,39701,,,,,,,,,,,,,,,
,mistral,2048,10,183.16,81.77144,0.286098,163.082,1.637912,4332.256,721.4894,81.31081,0,39515,,,,,,,,,,,,,,,
,mistral,3072,10,180.69,80.05529,0.360587,162.1277,1.660302,4391.477,731.352,79.69514,0,39607,,,,,,,,,,,,,,,
,mistral,4096,10,179.86,81.64139,0.448198,161.5362,1.667964,4411.742,734.727,81.23818,0,39563,,,,,,,,,,,,,,,
,mistral,128,15,390.23,342.1658,0.06892,374.5658,0.768777,2033.406,338.6413,342.0232,0,39597,,,vLLM,mistral,15,187.04,99.81365,1.000059,171.3103,1.603935,4242.387,706.5227,98.98257,0,43013
,mistral,256,15,246.42,189.6971,0.077485,225.8593,1.217434,3220.096,536.2714,189.5475,0,39575,,,,,,,,,,,,,,,
,mistral,512,15,206.83,136.9471,0.129266,187.8395,1.450467,3836.465,638.9209,136.7966,0,39545,,,,,,,,,,,,,,,
,mistral,1024,15,189.6,100.0306,0.204384,171.2569,1.582278,4185.105,696.9831,99.71318,0,39701,,,,,,,,,,,,,,,
,mistral,2048,15,183.75,90.82775,0.281276,167.0171,1.632653,4318.346,719.1728,90.42704,0,39515,,,,,,,,,,,,,,,
,mistral,3072,15,182.65,90.29775,0.362279,166.1898,1.642486,4344.353,723.504,90.04368,0,39607,,,,,,,,,,,,,,,
,mistral,4096,15,183.21,91.4281,0.448411,167.8295,1.637465,4331.074,721.2925,91.02225,0,39563,,,,,,,,,,,,,,,
,mistral,128,20,400.4,356.3689,0.067548,389.0685,0.749251,1981.758,330.04,356.2273,0,39597,,,vLLM,mistral,20,187.04,103.5181,0.996383,173.4632,1.603935,4242.387,706.5227,102.6886,0,43013
,mistral,256,20,236.29,185.3669,0.077321,219.9401,1.269626,3358.145,559.2619,185.221,0,39575,,,,,,,,,,,,,,,
,mistral,512,20,202.47,137.4999,0.128356,187.6478,1.481701,3919.079,652.6794,137.3575,0,39545,,,,,,,,,,,,,,,
,mistral,1024,20,171.48,98.03026,0.192187,157.5598,1.749475,4627.338,770.6321,97.78754,0,39701,,,,,,,,,,,,,,,
,mistral,2048,20,179.99,94.41906,0.285201,166.0361,1.666759,4408.556,734.1963,94.06462,0,39515,,,,,,,,,,,,,,,
,mistral,3072,20,181.96,94.16123,0.363018,167.7809,1.648714,4360.827,726.2475,93.92271,0,39607,,,,,,,,,,,,,,,
,mistral,4096,20,172.35,90.5826,0.435847,158.8941,1.740644,4603.98,766.7421,90.19236,0,39563,,,,,,,,,,,,,,,
,mixtral,128,1,370,65.96151,0.063755,109.5771,0.810811,2144.584,357.1568,64.48591,0,39409,,,vLLM,mixtral,1,309.18,1.405586,0.060232,54.75735,0.970309,2566.453,427.4145,1.310115,0,39557
,mixtral,256,1,308.73,3.270708,0.06302,56.64103,0.971723,2570.194,428.0374,2.712674,0,39425,,,,,,,,,,,,,,,
,mixtral,512,1,308.61,2.126773,0.059887,51.67257,0.972101,2571.193,428.2039,1.871033,0,39423,,,,,,,,,,,,,,,
,mixtral,1024,1,308.63,1.928419,0.056153,51.61309,0.972038,2571.027,428.1761,1.770861,0,39449,,,,,,,,,,,,,,,
,mixtral,2048,1,308.88,1.844645,0.056504,51.73969,0.971251,2568.946,427.8296,1.729577,0,39419,,,,,,,,,,,,,,,
,mixtral,3072,1,309.16,1.642518,0.056645,51.96893,0.970371,2566.619,427.4421,1.511385,0,39443,,,,,,,,,,,,,,,
,mixtral,4096,1,308.35,1.654855,0.05652,50.789,0.97292,2573.361,428.5649,1.511286,0,39415,,,,,,,,,,,,,,,
,mixtral,128,5,360.09,278.36,0.062456,307.0248,0.833125,2203.605,366.986,277.9119,0,39409,,,vLLM,mixtral,5,116.55,2.960947,0.1239,88.80955,2.574003,6808.202,1133.831,2.741564,0,39507
,mixtral,256,5,223.95,132.671,0.072018,170.2296,1.339585,3543.184,590.0781,132.5684,0,39425,,,,,,,,,,,,,,,
,mixtral,512,5,156.72,55.23015,0.086225,104.6988,1.914242,5063.144,843.2108,54.97612,0,39457,,,,,,,,,,,,,,,
,mixtral,1024,5,120.75,7.251329,0.099292,83.67415,2.484472,6571.395,1094.393,6.94893,0,39521,,,,,,,,,,,,,,,
,mixtral,2048,5,115.53,2.728736,0.093228,79.07648,2.596728,6868.311,1143.841,2.605286,0,39441,,,,,,,,,,,,,,,
,mixtral,3072,5,117.41,3.161187,0.103819,85.07458,2.555149,6758.334,1125.526,3.028199,0,39443,,,,,,,,,,,,,,,
,mixtral,4096,5,116.73,3.142422,0.10583,84.58591,2.570033,6797.704,1132.083,3.000457,0,39431,,,,,,,,,,,,,,,
,mixtral,128,10,376.34,321.1094,0.063821,351.4409,0.797152,2108.455,351.1399,320.9887,0,39409,,,vLLM,mixtral,10,104.05,3.806774,0.180265,94.22879,2.883229,7626.103,1270.043,3.765479,0,39751
,mixtral,256,10,227.63,163.5667,0.071367,198.9004,1.317928,3485.903,580.5386,163.3242,0,39425,,,,,,,,,,,,,,,
,mixtral,512,10,143.95,75.09366,0.079091,117.338,2.084057,5512.303,918.0132,74.98703,0,39457,,,,,,,,,,,,,,,
,mixtral,1024,10,117.08,32.53471,0.101009,92.31229,2.562351,6777.383,1128.698,32.36788,0,39511,,,,,,,,,,,,,,,
,mixtral,2048,10,101.35,4.891257,0.115521,86.83057,2.960039,7829.265,1303.878,4.746497,0,39547,,,,,,,,,,,,,,,
,mixtral,3072,10,100.28,3.29515,0.116676,87.52368,2.991623,7912.804,1317.79,3.183909,0,39559,,,,,,,,,,,,,,,
,mixtral,4096,10,96.99,3.053002,0.126739,83.66618,3.093102,8181.215,1362.491,2.935746,0,39431,,,,,,,,,,,,,,,
,mixtral,128,15,365.33,320.3767,0.061454,349.4535,0.821175,2171.998,361.7223,320.2453,0,39409,,,vLLM,mixtral,15,99.56,8.709829,0.22581,94.75762,3.013258,7970.028,1327.32,8.665641,0,39751
,mixtral,256,15,232.04,177.1398,0.071878,211.2332,1.292881,3419.652,569.5053,177.0028,0,39425,,,,,,,,,,,,,,,
,mixtral,512,15,158.83,93.91971,0.086182,139.718,1.888812,4995.882,832.0091,93.70938,0,39457,,,,,,,,,,,,,,,
,mixtral,1024,15,119.64,42.5823,0.099577,101.3185,2.507523,6632.364,1104.547,42.46579,0,39511,,,,,,,,,,,,,,,
,mixtral,2048,15,98.03,13.27117,0.108188,85.69626,3.060288,8094.42,1348.036,13.14519,0,39547,,,,,,,,,,,,,,,
,mixtral,3072,15,94.44,6.302163,0.126686,85.86378,3.17662,8402.118,1399.28,6.206353,0,39557,,,,,,,,,,,,,,,
,mixtral,4096,15,97.34,5.011323,0.136478,90.38104,3.081981,8151.798,1357.592,4.912079,0,39431,,,,,,,,,,,,,,,
,mixtral,128,20,368.13,327.2783,0.061364,356.6379,0.81493,2155.478,358.971,327.1475,0,39409,,,vLLM,mixtral,20,97.01,11.99653,0.319019,95.25495,3.092465,8179.528,1362.21,11.94999,0,40747
,mixtral,256,20,223.91,175.0769,0.070078,207.3533,1.339824,3543.817,590.1836,174.9534,0,39425,,,,,,,,,,,,,,,
,mixtral,512,20,158.09,98.11234,0.086967,143.1287,1.897653,5019.268,835.9036,98.0082,0,39457,,,,,,,,,,,,,,,
,mixtral,1024,20,118.74,46.55962,0.098432,104.6264,2.526529,6682.634,1112.919,46.38739,0,39511,,,,,,,,,,,,,,,
,mixtral,2048,20,98.98,17.2519,0.113582,88.81659,3.030915,8016.731,1335.098,17.11325,0,39547,,,,,,,,,,,,,,,
