"TP=1, PP=1, 300 Request",model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,llama,128,1,1558.6,1252.202,0.077686,1266.875,0.19248,1721.624,42.67869,1242.941,0,39341,,,,llama,1,1685.41,1371.117,0.179018,1396.01,0.177998,1592.089,39.46755,1365.885,1,41183
,llama,256,1,1456.77,1144.747,0.095905,1161.461,0.205935,1841.968,45.66198,1138.617,0,39333,,,,,,,,,,,,,,,
,llama,512,1,1401.55,1090.721,0.126314,1108.495,0.214049,1914.54,47.46103,1086.304,0,39351,,,,,,,,,,,,,,,
,llama,1024,1,1445.07,1132.807,0.152317,1152.262,0.207602,1856.976,46.12718,1128.764,1,39407,,,,,,,,,,,,,,,
,llama,2048,1,1468.43,1156.184,0.142729,1175.866,0.2043,1827.414,45.37159,1152.335,1,39383,,,,,,,,,,,,,,,
,llama,3072,1,1502.12,1191.426,0.163432,1209.663,0.199718,1786.357,44.28341,1187.643,1,39363,,,,,,,,,,,,,,,
,llama,4096,1,1516.25,1204.844,0.171167,1223.852,0.197857,1769.71,43.87073,1201.029,0,39469,,,,,,,,,,,,,,,
,llama,128,5,1547.88,1468.667,0.077321,1483.245,0.193813,1733.547,42.97426,1459.467,0,39332,,,,llama,5,1700.41,1613.034,0.180019,1636.007,0.176428,1578.045,39.11939,1607.8,1,41183
,llama,256,5,1448.56,1363.738,0.095335,1379.886,0.207102,1852.407,45.92078,1357.639,0,39333,,,,,,,,,,,,,,,
,llama,512,5,1407.32,1323.464,0.126764,1340.948,0.213171,1906.69,47.26644,1319.042,0,39351,,,,,,,,,,,,,,,
,llama,1024,5,1444.21,1359.585,0.152364,1378.403,0.207726,1857.987,46.05909,1355.535,1,39407,,,,,,,,,,,,,,,
,llama,2048,5,1480.79,1395.896,0.143662,1415.764,0.202595,1812.089,44.92129,1392.011,1,39383,,,,,,,,,,,,,,,
,llama,3072,5,1500.68,1416.927,0.163367,1434.814,0.199909,1788.071,44.32591,1413.133,1,39363,,,,,,,,,,,,,,,
,llama,4096,5,1522.07,1437.671,0.171608,1456.321,0.1971,1762.943,43.70298,1433.844,0,39469,,,,,,,,,,,,,,,
,llama,128,10,1546.21,1495.382,0.077231,1509.961,0.194023,1735.42,43.02068,1486.173,0,39341,,,,llama,10,1685.15,1626.138,0.179136,1648.69,0.178026,1592.335,39.47364,1620.895,1,41183
,llama,256,10,1451.17,1394.668,0.095542,1410.791,0.20673,1849.076,45.83819,1388.562,0,39333,,,,,,,,,,,,,,,
,llama,512,10,1402.3,1346.752,0.126458,1364.12,0.213934,1913.516,47.43564,1342.335,0,39351,,,,,,,,,,,,,,,
,llama,1024,10,1451.8,1395.47,0.152852,1414.42,0.20664,1848.273,45.81829,1391.402,1,39407,,,,,,,,,,,,,,,
,llama,2048,10,1475.26,1418.787,0.142957,1438.551,0.203354,1818.881,45.08968,1414.922,1,39383,,,,,,,,,,,,,,,
,llama,3072,10,1500.61,1445.205,0.164157,1463.09,0.199919,1788.155,44.32797,1441.412,1,39363,,,,,,,,,,,,,,,
,llama,4096,10,1523.11,1467.26,0.171475,1485.771,0.196965,1761.739,43.67314,1463.437,0,39469,,,,,,,,,,,,,,,
,llama,128,15,1544.79,1503.342,0.077182,1517.91,0.194201,1737.015,43.06022,1494.142,0,39341,,,,llama,15,1684.72,1635.307,0.179144,1657.79,0.178071,1592.741,39.48371,1630.069,1,41183
,llama,256,15,1447.77,1400.804,0.095229,1416.923,0.207215,1853.418,45.94583,1394.708,0,39333,,,,,,,,,,,,,,,
,llama,512,15,1410.11,1364.002,0.126707,1381.476,0.212749,1902.918,47.17292,1359.538,0,39351,,,,,,,,,,,,,,,
,llama,1024,15,1451.88,1404.992,0.152729,1423.943,0.206629,1848.171,45.81577,1400.924,1,39407,,,,,,,,,,,,,,,
,llama,2048,15,1470.04,1423.081,0.142777,1442.742,0.204076,1825.34,45.24979,1419.227,1,39383,,,,,,,,,,,,,,,
,llama,3072,15,1507.61,1461.567,0.164211,1479.567,0.19899,1779.852,44.12215,1457.774,1,39363,,,,,,,,,,,,,,,
,llama,4096,15,1516.8,1470.217,0.171126,1488.707,0.197785,1769.068,43.85483,1466.405,0,39469,,,,,,,,,,,,,,,
,llama,128,20,1563.7,1526.983,0.078099,1541.677,0.191853,1716.009,42.53949,1517.705,0,39341,,,,llama,20,1685,1640.307,0.179169,1662.761,0.178042,1592.477,39.47715,1635.069,1,41183
,llama,256,20,1448.76,1406.383,0.095504,1422.525,0.207074,1852.151,45.91444,1400.269,0,39333,,,,,,,,,,,,,,,
,llama,512,20,1401.72,1360.469,0.126587,1377.82,0.214023,1914.307,47.45527,1356.049,0,39351,,,,,,,,,,,,,,,
,llama,1024,20,1456.32,1414.251,0.15314,1433.281,0.205999,1842.537,45.67609,1410.15,1,39407,,,,,,,,,,,,,,,
,llama,2048,20,1471.99,1429.696,0.142934,1449.375,0.203806,1822.922,45.18985,1425.835,1,39383,,,,,,,,,,,,,,,
,llama,3072,20,1501.61,1460.472,0.164026,1478.355,0.199786,1786.964,44.29845,1456.676,1,39363,,,,,,,,,,,,,,,
,llama,4096,20,1515.55,1473.759,0.171249,1492.21,0.197948,1770.528,43.891,1469.937,0,39469,,,,,,,,,,,,,,,
,mistral,128,1,1030.07,731.1011,0.052954,740.8607,0.291242,2604.991,64.57716,724.5495,0,39409,,,,mistral,1,976.23,671.9156,0.386992,700.6549,0.307305,2748.659,68.13866,666.5848,0,43569
,mistral,256,1,817.37,518.2751,0.083555,531.1717,0.367031,3282.874,81.38175,512.7373,0,39421,,,,,,,,,,,,,,,
,mistral,512,1,715.15,414.648,0.143941,433.7337,0.419492,3752.112,93.01405,410.029,0,39439,,,,,,,,,,,,,,,
,mistral,1024,1,720.99,418.4113,0.248021,444.7895,0.416095,3721.72,92.26064,414.0264,0,39383,,,,,,,,,,,,,,,
,mistral,2048,1,761.69,459.3668,0.316675,486.1374,0.393861,3522.854,87.3308,455.4455,0,39367,,,,,,,,,,,,,,,
