"TP=1, PP=2, 300 Request",model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,mistral,3072,1,320.17,26.23272,0.311715,121.2123,0.937002,8380.932,207.7615,24.85571,0,39890,,,,,,,,,,,,,,,
,mistral,4096,1,329.55,28.47744,0.330595,127.0349,0.910332,8142.385,201.848,27.40702,0,39898,,,,,,,,,,,,,,,
,mistral,128,5,597.3,530.432,0.060447,541.9639,0.50226,4492.421,111.3661,525.0721,0,39888,,,,mistral,5,487.56,399.7101,0.529934,438.7968,0.615309,5503.575,136.4324,397.5333,0,44224
,mistral,256,5,375.92,308.2851,0.074598,322.6321,0.798042,7138.016,176.9499,305.0243,0,39982,,,,,,,,,,,,,,,
,mistral,512,5,297.35,228.2578,0.117025,246.735,1.008912,9024.123,223.7061,225.4706,0,39984,,,,,,,,,,,,,,,
,mistral,1024,5,302.02,227.7554,0.22151,253.7209,0.993312,8884.587,220.247,224.8936,0,39902,,,,,,,,,,,,,,,
,mistral,2048,5,313.59,236.5732,0.290167,266.3065,0.956663,8556.788,212.1209,234.7084,0,39882,,,,,,,,,,,,,,,
,mistral,3072,5,314.71,237.6926,0.313011,267.3659,0.953259,8526.335,211.366,235.8881,0,39890,,,,,,,,,,,,,,,
,mistral,4096,5,323.89,246.7724,0.336929,277.3534,0.92624,8284.674,205.3753,245.6879,0,39898,,,,,,,,,,,,,,,
,mistral,128,10,598.4,559.4014,0.061295,571.228,0.501337,4484.163,111.1614,553.9878,0,39888,,,,mistral,10,482.72,425.9919,0.527194,462.0889,0.621478,5558.757,137.8004,423.8366,0,44224
,mistral,256,10,372.42,334.8084,0.073485,348.7185,0.805542,7205.099,178.6129,331.5703,0,39982,,,,,,,,,,,,,,,
,mistral,512,10,292.72,251.2593,0.114496,269.0069,1.02487,9166.859,227.2445,248.4844,0,39984,,,,,,,,,,,,,,,
,mistral,1024,10,297.19,250.2465,0.218456,275.768,1.009455,9028.981,223.8265,247.4478,0,39902,,,,,,,,,,,,,,,
,mistral,2048,10,312.34,264.0263,0.288496,291.5129,0.960492,8591.032,212.9698,262.169,0,39882,,,,,,,,,,,,,,,
,mistral,3072,10,315.65,267.4223,0.331712,294.1539,0.95042,8500.944,210.7366,265.651,0,39890,,,,,,,,,,,,,,,
,mistral,4096,10,324.02,275.634,0.335584,303.1683,0.925869,8281.35,205.2929,274.5655,0,39898,,,,,,,,,,,,,,,
,mistral,128,15,602.03,573.1102,0.061175,584.2985,0.498314,4457.125,110.4912,567.7594,0,39888,,,,mistral,15,482.41,433.4623,0.521126,469.4599,0.621878,5562.329,137.8889,431.3003,0,44224
,mistral,256,15,385.53,356.0048,0.077688,370.9656,0.77815,6960.089,172.5391,352.7171,0,39982,,,,,,,,,,,,,,,
,mistral,512,15,294.26,263.2179,0.114119,281.1039,1.019507,9118.885,226.0552,260.5091,0,39984,,,,,,,,,,,,,,,
,mistral,1024,15,298.26,260.8989,0.217818,285.182,1.005834,8996.59,223.0235,258.1175,0,39902,,,,,,,,,,,,,,,
,mistral,2048,15,315.59,276.7491,0.289894,302.7113,0.9506,8502.56,210.7766,274.8956,0,39882,,,,,,,,,,,,,,,
,mistral,3072,15,319.07,280.172,0.322697,305.732,0.940233,8409.825,208.4778,278.2362,0,39890,,,,,,,,,,,,,,,
,mistral,4096,15,323.23,282.8249,0.332603,309.5643,0.928132,8301.59,205.7946,281.7405,0,39898,,,,,,,,,,,,,,,
,mistral,128,20,581.48,557.4055,0.060013,568.3284,0.515925,4614.644,114.396,552.1346,0,39888,,,,mistral,20,482.25,438.0095,0.518239,473.0893,0.622084,5564.174,137.9347,435.8508,0,44224
,mistral,256,20,377.74,353.89,0.075224,368.015,0.794197,7103.624,176.0973,350.5687,0,39982,,,,,,,,,,,,,,,
,mistral,512,20,296.55,269.8375,0.11541,287.8034,1.011634,9048.467,224.3096,266.9153,0,39984,,,,,,,,,,,,,,,
,mistral,1024,20,300.27,267.5769,0.218006,291.598,0.999101,8936.367,221.5306,264.7885,0,39902,,,,,,,,,,,,,,,
,mistral,2048,20,312.16,278.3792,0.289882,303.721,0.961046,8595.986,213.0926,276.6615,0,39882,,,,,,,,,,,,,,,
,mistral,3072,20,316.7,282.4017,0.330911,306.9953,0.947269,8472.76,210.0379,280.5992,0,39890,,,,,,,,,,,,,,,
,mistral,4096,20,323.56,288.6907,0.327257,315.0044,0.927185,8293.123,205.5847,287.5491,0,39898,,,,,,,,,,,,,,,
,mixtral,128,1,387.09,97.73651,0.040527,107.197,0.775014,6932.039,171.8438,94.13026,0,39886,,,,mixtral,1,289.31,5.372158,0.058166,24.03864,1.03695,9274.906,229.9229,4.944606,0,41258
,mixtral,256,1,291.34,7.773723,0.04508,22.22107,1.029725,9210.28,228.3209,6.385315,0,39866,,,,,,,,,,,,,,,
,mixtral,512,1,287.95,6.773769,0.04681,21.60692,1.041848,9318.712,231.0089,6.062589,0,39884,,,,,,,,,,,,,,,
,mixtral,1024,1,289.05,6.038143,0.046086,19.7919,1.037883,9283.249,230.1297,5.652934,0,39906,,,,,,,,,,,,,,,
,mixtral,2048,1,287.61,6.223005,0.047186,19.74966,1.043079,9329.728,231.2819,5.904997,0,39906,,,,,,,,,,,,,,,
,mixtral,3072,1,286.83,6.446704,0.048282,19.86161,1.045916,9355.099,231.9109,6.075557,0,39914,,,,,,,,,,,,,,,
,mixtral,4096,1,287.98,5.3301,0.051976,20.7098,1.041739,9317.741,230.9848,4.946515,0,39910,,,,,,,,,,,,,,,
,mixtral,128,5,388.3,325.9275,0.040688,333.7976,0.772599,6910.438,171.3083,322.5478,0,39886,,,,mixtral,5,100.18,7.284347,0.319792,93.82992,2.99461,26785.02,663.9948,6.829285,0,41260
,mixtral,256,5,226.95,165.6991,0.045898,175.0799,1.321877,11823.41,293.0998,163.6268,0,39904,,,,,,,,,,,,,,,
,mixtral,512,5,141.48,79.95855,0.056548,91.43695,2.120441,18966.09,470.1654,78.70987,0,39906,,,,,,,,,,,,,,,
,mixtral,1024,5,110.65,44.70344,0.079673,66.2943,2.711252,24250.55,601.1658,43.6279,0,39904,,,,,,,,,,,,,,,
,mixtral,2048,5,87.97,17.20289,0.123262,57.35079,3.410253,30502.71,756.1555,16.38117,0,39906,,,,,,,,,,,,,,,
,mixtral,3072,5,89.52,14.75094,0.179751,69.20987,3.351206,29974.56,743.063,13.86223,0,39900,,,,,,,,,,,,,,,
,mixtral,4096,5,87.01,7.881227,0.218949,73.29147,3.44788,30839.25,764.4983,7.149891,0,39892,,,,,,,,,,,,,,,
,mixtral,128,10,394.02,359.8275,0.040773,367.5258,0.761383,6810.119,168.8214,355.9197,0,39886,,,,mixtral,10,96.94,31.34532,0.463478,98.23456,3.094698,27680.25,686.1873,31.04852,0,41260
,mixtral,256,10,223.76,190.4152,0.046481,200.2513,1.340722,11991.97,297.2783,188.4026,0,39904,,,,,,,,,,,,,,,
,mixtral,512,10,145.24,112.8256,0.056855,122.8129,2.065547,18475.1,457.9937,111.5818,0,39906,,,,,,,,,,,,,,,
,mixtral,1024,10,109.19,71.67707,0.078607,88.45889,2.747504,24574.81,609.2041,70.65821,0,39904,,,,,,,,,,,,,,,
,mixtral,2048,10,92.24,49.9195,0.12504,74.74077,3.252385,29090.67,721.1513,49.01146,0,39906,,,,,,,,,,,,,,,
,mixtral,3072,10,90.72,43.84723,0.177719,78.02582,3.306878,29578.08,733.2341,42.88688,0,39900,,,,,,,,,,,,,,,
,mixtral,4096,10,85.67,35.64967,0.212789,77.0407,3.501809,31321.62,776.4562,34.70336,0,39892,,,,,,,,,,,,,,,
,mixtral,128,15,398.25,373.4585,0.041161,381.5152,0.753296,6737.785,167.0282,369.8362,0,39886,,,,mixtral,15,95.22,39.67943,0.45646,96.51044,3.150599,28180.25,698.5822,39.3836,0,41260
,mixtral,256,15,224.01,200.5638,0.045596,209.6201,1.339226,11978.59,296.9466,198.7882,0,39904,,,,,,,,,,,,,,,
,mixtral,512,15,143.44,119.0628,0.057179,130.1036,2.091467,18706.94,463.7409,117.9957,0,39906,,,,,,,,,,,,,,,
,mixtral,1024,15,112.72,83.42116,0.081833,99.56174,2.661462,23805.21,590.126,82.2734,0,39904,,,,,,,,,,,,,,,
,mixtral,2048,15,86.66,53.99128,0.118383,77.19836,3.461805,30963.8,767.586,53.13356,0,39906,,,,,,,,,,,,,,,
,mixtral,3072,15,87.72,52.82966,0.175384,79.4702,3.419973,30589.64,758.3105,51.86417,0,39900,,,,,,,,,,,,,,,
,mixtral,4096,15,87.71,45.44833,0.213705,80.39763,3.420363,30593.13,758.397,44.42043,0,39892,,,,,,,,,,,,,,,
,mixtral,128,20,396.67,377.2706,0.041621,384.6305,0.756296,6764.623,167.6935,373.9737,0,39886,,,,mixtral,20,95.91,45.56575,0.460981,97.80955,3.127932,27977.51,693.5565,45.2676,0,41260
,mixtral,256,20,226.31,208.0483,0.047047,216.4773,1.325615,11856.85,293.9287,206.3041,0,39904,,,,,,,,,,,,,,,
,mixtral,512,20,146.45,126.3032,0.058148,137.6023,2.048481,18322.45,454.2096,124.9261,0,39906,,,,,,,,,,,,,,,
,mixtral,1024,20,109.14,85.53689,0.078972,100.8935,2.748763,24586.06,609.4832,84.44755,0,39904,,,,,,,,,,,,,,,
,mixtral,2048,20,90.41,62.60108,0.125143,83.64649,3.318217,29679.49,735.7483,61.75869,0,39906,,,,,,,,,,,,,,,
,mixtral,3072,20,91.64,60.00815,0.177541,86.43811,3.27368,29281.13,725.873,59.06906,0,39900,,,,,,,,,,,,,,,
,mixtral,4096,20,88.17,51.59438,0.2157,83.81757,3.402518,30433.51,754.4403,50.59239,0,39892,,,,,,,,,,,,,,,
,qwen,128,1,808.87,508.7731,0.087139,525.5962,0.370888,3317.372,82.23695,501.2625,0,39892,,,,qwen,1,929.68,622.6321,0.193155,652.7826,0.322692,2886.287,71.55043,620.5066,0,42686
,qwen,256,1,618.32,317.2954,0.102406,338.0086,0.485186,4339.7,107.5802,312.5016,0,39982,,,,,,,,,,,,,,,
,qwen,512,1,599.02,298.0047,0.118616,321.423,0.500818,4479.522,111.0464,296.5564,0,39986,,,,,,,,,,,,,,,
,qwen,1024,1,634.74,334.1485,0.135602,357.5388,0.472634,4227.436,104.7972,332.9107,0,39934,,,,,,,,,,,,,,,
,qwen,2048,1,672.94,372.8569,0.150019,396.3253,0.445805,3987.462,98.84834,371.9188,0,39908,,,,,,,,,,,,,,,
,qwen,3072,1,684.35,381.0459,0.151128,407.4293,0.438372,3920.98,97.20026,380.235,0,39896,,,,,,,,,,,,,,,
,qwen,4096,1,679.61,378.0205,0.155471,402.8345,0.44143,3948.328,97.87819,376.7821,0,39880,,,,,,,,,,,,,,,
,qwen,128,5,809.97,737.1806,0.086606,753.5699,0.370384,3312.867,82.12526,729.702,0,39892,,,,qwen,5,929.49,849.3783,0.192888,877.2496,0.322758,2886.877,71.56505,847.2541,0,42686
,qwen,256,5,615.05,540.3027,0.102132,561.2551,0.487765,4362.772,108.1522,535.4648,0,39982,,,,,,,,,,,,,,,
,qwen,512,5,604.12,529.9417,0.116822,551.6453,0.49659,4441.705,110.1089,528.4807,0,39986,,,,,,,,,,,,,,,
,qwen,1024,5,634.99,561.4503,0.137037,582.8711,0.472448,4225.772,104.756,560.3449,0,39934,,,,,,,,,,,,,,,
,qwen,2048,5,675.11,601.9321,0.15326,623.146,0.444372,3974.646,98.53061,600.6643,0,39908,,,,,,,,,,,,,,,
,qwen,3072,5,676.54,601.3008,0.148247,624.3477,0.443433,3966.244,98.32235,599.921,0,39896,,,,,,,,,,,,,,,
,qwen,4096,5,683.38,609.3432,0.158027,631.1971,0.438994,3926.546,97.33823,608.2809,0,39880,,,,,,,,,,,,,,,
,qwen,128,10,800.9,757.2145,0.086059,773.1503,0.374579,3350.385,83.05531,749.8324,0,39892,,,,qwen,10,927.33,876.1124,0.192432,903.2474,0.323509,2893.601,71.73175,873.9913,0,42686
,qwen,256,10,615.07,569.5588,0.101856,590.335,0.487749,4362.63,108.1487,564.7188,0,39982,,,,,,,,,,,,,,,
,qwen,512,10,597.64,552.3338,0.11749,573.8048,0.501974,4489.865,111.3028,550.861,0,39986,,,,,,,,,,,,,,,
,qwen,1024,10,626.4,579.9119,0.129028,600.8638,0.478927,4283.721,106.1925,578.7049,0,39934,,,,,,,,,,,,,,,
,qwen,2048,10,673.32,628.8499,0.153145,650.142,0.445553,3985.212,98.79255,627.5994,0,39908,,,,,,,,,,,,,,,
,qwen,3072,10,685.55,638.37,0.150177,662.3023,0.437605,3914.117,97.03012,636.9784,0,39896,,,,,,,,,,,,,,,
,qwen,4096,10,677.63,632.4185,0.154154,654.3073,0.442719,3959.865,98.16419,631.3538,0,39880,,,,,,,,,,,,,,,
,qwen,128,15,820.69,785.9467,0.089105,802.2077,0.365546,3269.594,81.05253,778.3529,0,39892,,,,qwen,15,924.47,882.16,0.192546,909.0739,0.32451,2902.553,71.95366,880.0355,0,42686
,qwen,256,15,619.99,583.7661,0.102875,604.8667,0.483879,4328.01,107.2904,578.8508,0,39982,,,,,,,,,,,,,,,
,qwen,512,15,601.38,565.7267,0.116183,586.7851,0.498853,4461.943,110.6106,564.1762,0,39986,,,,,,,,,,,,,,,
,qwen,1024,15,630.39,594.9741,0.132997,615.945,0.475896,4256.608,105.5204,593.8646,0,39934,,,,,,,,,,,,,,,
,qwen,2048,15,671.44,636.3388,0.152138,657.6384,0.446801,3996.37,99.06916,635.0924,0,39908,,,,,,,,,,,,,,,
,qwen,3072,15,680.26,642.4331,0.149932,665.5229,0.441008,3944.555,97.78467,641.181,0,39896,,,,,,,,,,,,,,,
,qwen,4096,15,681.43,645.4057,0.155099,667.2635,0.440251,3937.782,97.61678,644.4067,0,39880,,,,,,,,,,,,,,,
,qwen,128,20,796.81,767.3173,0.085841,782.874,0.376501,3367.582,83.48163,760.0765,0,39892,,,,qwen,20,920.75,884.2349,0.192267,910.8481,0.325821,2914.28,72.24437,882.1061,0,42686
,qwen,256,20,624.03,592.7314,0.102028,613.7212,0.480746,4299.99,106.5958,587.4703,0,39982,,,,,,,,,,,,,,,
,qwen,512,20,604.14,572.9717,0.117538,594.3666,0.496574,4441.558,110.1053,571.4877,0,39986,,,,,,,,,,,,,,,
,qwen,1024,20,627.2,596.5755,0.131366,617.388,0.478316,4278.257,106.0571,595.4729,0,39934,,,,,,,,,,,,,,,
,qwen,2048,20,670.38,640.0246,0.152224,661.2665,0.447507,4002.69,99.22581,638.7637,0,39908,,,,,,,,,,,,,,,
,qwen,3072,20,689.96,657.0809,0.151034,680.9442,0.434808,3889.099,96.40994,655.6945,0,39896,,,,,,,,,,,,,,,
,qwen,4096,20,684.17,652.1152,0.153397,673.4868,0.438488,3922.012,97.22584,650.9268,0,39880,,,,,,,,,,,,,,,
,yi,128,1,532.36,239.1641,0.054324,251.4507,0.563528,5040.429,124.9512,234.4056,0,39916,,,,yi,1,357.98,38.25693,0.663787,234.4353,0.838036,7495.734,185.8176,36.86319,0,42606
,yi,256,1,325.38,37.04528,0.065175,59.36916,0.921999,8246.736,204.4348,35.25784,0,39920,,,,,,,,,,,,,,,
,yi,512,1,296.36,8.0384,0.092046,40.62117,1.012282,9054.268,224.4534,6.341169,0,40000,,,,,,,,,,,,,,,
,yi,1024,1,298.31,7.433417,0.155916,59.10851,1.005665,8995.082,222.9862,6.182934,0,39896,,,,,,,,,,,,,,,
,yi,2048,1,300.8,7.608026,0.207473,72.88817,0.99734,8920.622,221.1403,6.411315,0,39936,,,,,,,,,,,,,,,
,yi,3072,1,300.67,6.944796,0.218344,80.78481,0.997772,8924.479,221.2359,6.01232,0,39924,,,,,,,,,,,,,,,
,yi,4096,1,303.07,6.80173,0.240248,89.26242,0.98987,8853.806,219.4839,5.597843,0,39908,,,,,,,,,,,,,,,
,yi,128,5,529.32,463.9832,0.054708,474.4099,0.566765,5069.378,125.6688,459.2131,0,39916,,,,yi,5,352.02,260.9264,0.820636,313.3689,0.852224,7622.644,188.9637,258.9982,0,42606
,yi,256,5,340.83,274.2093,0.068288,288.0244,0.880204,7872.907,195.1677,271.3414,0,39920,,,,,,,,,,,,,,,
,yi,512,5,248.48,181.206,0.09588,197.8178,1.207341,10798.95,267.7036,178.9675,0,39996,,,,,,,,,,,,,,,
,yi,1024,5,245.05,173.5324,0.183758,197.3784,1.22424,10950.1,271.4507,170.9205,0,39894,,,,,,,,,,,,,,,
,yi,2048,5,231.86,151.6814,0.345257,194.244,1.293884,11573.03,286.893,149.2499,0,39934,,,,,,,,,,,,,,,
,yi,3072,5,225.21,145.4239,0.401754,190.56,1.33209,11914.76,295.3643,143.7027,0,39924,,,,,,,,,,,,,,,
